STAGE = 22
MACHINE = [2, 4, 5, 5, 3, 4, 4, 3, 5, 5, 5, 5, 5, 2, 4, 3, 2, 4, 3, 2, 3, 3]
JOB_NUM = 80
PROCESSING_SCHEDULE = 
  JOB0  [51, 28, 51, 74, 89, 63, 82, 74, 34, 41, 24, 68, 20, 58, 26, 68, 37, 93, 66, 37, 93, 52]
  JOB1  [22, 55, 99, 69, 62, 65, 67, 86, 24, 85, 32, 43, 65, 37, 37, 73, 93, 43, 53, 74, 59, 50]
  JOB2  [100, 78, 99, 100, 31, 25, 64, 54, 51, 27, 21, 59, 52, 32, 38, 96, 89, 60, 48, 70, 33, 45]
  JOB3  [56, 86, 54, 66, 83, 38, 36, 37, 63, 84, 37, 89, 49, 32, 77, 26, 55, 83, 91, 42, 83, 47]
  JOB4  [88, 52, 67, 85, 60, 70, 84, 72, 70, 56, 31, 78, 59, 88, 23, 88, 55, 20, 88, 20, 62, 20]
  JOB5  [82, 36, 29, 24, 38, 23, 89, 44, 20, 40, 58, 68, 98, 61, 23, 28, 38, 100, 24, 90, 78, 84]
  JOB6  [51, 73, 66, 44, 40, 71, 99, 37, 54, 38, 100, 81, 34, 65, 54, 43, 31, 52, 96, 36, 33, 99]
  JOB7  [21, 47, 54, 62, 64, 71, 23, 76, 44, 61, 59, 86, 80, 38, 95, 74, 67, 69, 43, 51, 41, 98]
  JOB8  [95, 26, 74, 66, 48, 64, 36, 66, 23, 30, 63, 42, 32, 97, 23, 25, 92, 100, 35, 90, 98, 57]
  JOB9  [20, 34, 44, 88, 67, 24, 50, 97, 92, 51, 93, 42, 61, 66, 57, 52, 96, 93, 23, 84, 74, 45]
  JOB10  [94, 23, 68, 54, 25, 51, 23, 24, 61, 94, 92, 47, 51, 42, 57, 85, 75, 31, 43, 67, 94, 75]
  JOB11  [30, 21, 78, 41, 78, 95, 56, 41, 74, 75, 96, 25, 75, 77, 82, 77, 61, 64, 55, 60, 37, 56]
  JOB12  [74, 58, 58, 44, 68, 30, 36, 71, 66, 72, 46, 42, 46, 58, 66, 28, 96, 57, 35, 59, 64, 20]
  JOB13  [84, 95, 37, 44, 100, 85, 98, 20, 70, 41, 57, 92, 57, 72, 43, 83, 70, 80, 28, 81, 90, 23]
  JOB14  [44, 71, 73, 72, 87, 73, 99, 37, 21, 73, 92, 88, 94, 35, 38, 98, 55, 69, 72, 69, 23, 100]
  JOB15  [67, 34, 32, 99, 44, 40, 88, 36, 35, 87, 60, 97, 29, 39, 67, 81, 96, 90, 51, 100, 24, 51]
  JOB16  [61, 70, 88, 63, 43, 20, 25, 71, 60, 85, 60, 71, 28, 33, 32, 88, 86, 99, 77, 62, 72, 31]
  JOB17  [94, 96, 50, 58, 69, 51, 33, 29, 67, 64, 44, 36, 94, 95, 56, 25, 94, 26, 84, 43, 56, 73]
  JOB18  [45, 49, 95, 24, 99, 56, 84, 31, 27, 60, 48, 41, 93, 73, 86, 23, 43, 46, 96, 60, 38, 25]
  JOB19  [21, 48, 38, 34, 61, 99, 85, 47, 32, 66, 53, 27, 55, 22, 35, 51, 54, 24, 33, 30, 22, 68]
  JOB20  [89, 95, 20, 58, 57, 48, 86, 57, 50, 32, 89, 48, 65, 22, 34, 79, 63, 22, 99, 29, 25, 78]
  JOB21  [63, 73, 91, 88, 96, 60, 40, 33, 95, 48, 77, 61, 92, 76, 26, 42, 74, 45, 84, 98, 48, 65]
  JOB22  [89, 46, 44, 25, 37, 36, 55, 87, 22, 49, 68, 78, 22, 27, 39, 57, 60, 89, 89, 63, 47, 93]
  JOB23  [26, 85, 79, 40, 22, 81, 96, 77, 98, 35, 58, 31, 39, 83, 91, 50, 65, 77, 97, 76, 25, 36]
  JOB24  [35, 54, 40, 82, 95, 35, 30, 82, 88, 56, 94, 29, 93, 81, 50, 30, 77, 42, 26, 32, 97, 50]
  JOB25  [55, 56, 77, 54, 45, 42, 60, 59, 38, 45, 75, 79, 72, 82, 73, 60, 34, 46, 96, 63, 71, 45]
