STAGE = 21
MACHINE = [2, 2, 4, 2, 5, 2, 2, 3, 2, 3, 3, 2, 4, 4, 2, 5, 4, 3, 4, 5, 5]
JOB_NUM = 80
PROCESSING_SCHEDULE = 
  JOB0  [29, 92, 80, 96, 83, 43, 27, 84, 96, 92, 37, 62, 49, 51, 37, 95, 65, 49, 42, 45, 27]
  JOB1  [55, 23, 30, 26, 92, 40, 43, 22, 85, 98, 59, 61, 36, 44, 57, 20, 53, 64, 95, 34, 26]
  JOB2  [59, 71, 82, 48, 28, 93, 60, 31, 47, 66, 80, 25, 72, 89, 29, 73, 78, 28, 45, 28, 96]
  JOB3  [75, 92, 51, 49, 93, 96, 42, 81, 56, 41, 26, 27, 85, 73, 54, 33, 82, 52, 98, 47, 32]
  JOB4  [89, 100, 36, 82, 88, 99, 70, 71, 65, 22, 33, 44, 70, 69, 32, 99, 28, 90, 58, 71, 37]
  JOB5  [96, 33, 39, 97, 27, 48, 63, 93, 82, 100, 33, 64, 92, 97, 53, 51, 80, 89, 70, 54, 81]
  JOB6  [75, 24, 26, 35, 56, 83, 65, 80, 62, 91, 39, 70, 44, 47, 91, 88, 49, 77, 26, 35, 75]
  JOB7  [28, 32, 73, 100, 24, 64, 80, 39, 48, 74, 27, 64, 69, 66, 43, 86, 97, 65, 93, 39, 34]
  JOB8  [30, 30, 45, 52, 54, 93, 42, 61, 54, 64, 32, 83, 97, 85, 60, 32, 99, 85, 21, 86, 20]
  JOB9  [40, 45, 100, 65, 26, 93, 44, 37, 91, 88, 86, 27, 81, 77, 32, 67, 25, 27, 95, 35, 51]
  JOB10  [78, 25, 92, 56, 87, 82, 26, 70, 82, 33, 69, 82, 44, 70, 54, 29, 34, 43, 34, 51, 20]
  JOB11  [58, 47, 83, 98, 23, 80, 57, 21, 50, 71, 22, 34, 44, 38, 31, 51, 46, 76, 57, 100, 83]
  JOB12  [73, 81, 64, 73, 85, 23, 43, 30, 62, 56, 74, 73, 20, 88, 81, 70, 66, 46, 68, 52, 63]
  JOB13  [24, 65, 70, 73, 49, 86, 33, 75, 84, 61, 100, 32, 79, 49, 42, 80, 27, 48, 49, 77, 26]
  JOB14  [74, 77, 82, 85, 76, 70, 62, 39, 37, 81, 81, 78, 67, 75, 42, 45, 42, 39, 97, 44, 77]
  JOB15  [82, 88, 82, 72, 70, 55, 74, 73, 96, 79, 29, 68, 47, 38, 33, 83, 42, 97, 25, 80, 21]
  JOB16  [80, 22, 32, 91, 75, 94, 26, 76, 35, 76, 98, 44, 86, 57, 100, 83, 20, 87, 91, 72, 59]
  JOB17  [24, 82, 61, 83, 33, 34, 21, 61, 90, 67, 49, 49, 78, 67, 81, 76, 83, 27, 39, 92, 70]
  JOB18  [57, 59, 58, 68, 48, 41, 84, 22, 48, 89, 34, 22, 86, 85, 40, 80, 80, 93, 69, 43, 21]
  JOB19  [58, 67, 49, 69, 50, 71, 83, 30, 77, 79, 42, 46, 89, 78, 85, 75, 88, 87, 36, 55, 58]
  JOB20  [81, 84, 69, 42, 92, 30, 94, 94, 23, 81, 74, 63, 25, 80, 69, 77, 93, 59, 54, 27, 46]
