STAGE = 15
MACHINE = [3, 4, 3, 5, 5, 2, 2, 4, 2, 2, 5, 4, 2, 2, 3]
JOB_NUM = 20
PROCESSING_SCHEDULE = 
  JOB0  [95, 99, 64, 30, 81, 82, 86, 67, 96, 53, 73, 40, 88, 45, 91]
  JOB1  [100, 93, 64, 47, 31, 68, 32, 26, 35, 27, 38, 66, 40, 64, 60]
  JOB2  [23, 37, 46, 83, 38, 89, 47, 53, 45, 40, 75, 63, 23, 89, 64]
  JOB3  [97, 47, 72, 33, 35, 55, 31, 54, 41, 93, 33, 74, 50, 98, 32]
  JOB4  [27, 38, 20, 26, 77, 97, 37, 73, 71, 69, 95, 50, 96, 60, 99]
  JOB5  [45, 22, 85, 67, 73, 40, 91, 96, 66, 67, 51, 29, 51, 92, 23]
  JOB6  [63, 75, 37, 20, 91, 90, 74, 96, 63, 57, 74, 52, 54, 88, 89]
  JOB7  [34, 67, 81, 63, 99, 41, 21, 62, 97, 23, 100, 49, 36, 85, 39]
  JOB8  [72, 37, 25, 75, 39, 52, 28, 64, 32, 95, 43, 84, 29, 82, 70]
  JOB9  [37, 75, 31, 27, 58, 73, 88, 38, 81, 28, 92, 48, 63, 94, 40]
  JOB10  [96, 36, 77, 23, 48, 70, 34, 57, 88, 72, 42, 69, 63, 32, 44]
  JOB11  [77, 93, 56, 88, 60, 87, 87, 90, 32, 45, 32, 69, 62, 34, 57]
  JOB12  [22, 28, 24, 61, 71, 79, 29, 36, 48, 30, 60, 69, 20, 42, 71]
  JOB13  [64, 26, 60, 62, 39, 60, 58, 93, 31, 25, 36, 59, 22, 66, 74]
  JOB14  [90, 59, 34, 81, 53, 74, 38, 58, 89, 21, 20, 38, 43, 58, 78]
  JOB15  [69, 80, 42, 44, 33, 41, 45, 86, 75, 33, 29, 84, 21, 45, 95]
  JOB16  [93, 96, 87, 94, 69, 91, 43, 91, 75, 37, 28, 84, 82, 84, 84]
  JOB17  [58, 80, 90, 27, 71, 26, 85, 90, 64, 72, 85, 43, 20, 81, 49]
  JOB18  [47, 83, 91, 34, 85, 62, 100, 39, 22, 86, 64, 54, 46, 41, 76]
  JOB19  [48, 76, 25, 43, 74, 83, 48, 31, 58, 99, 94, 89, 34, 40, 38]
T_START = [251.0, 274.0, 344.0, 216.0, 478.0, 544.0, 353.0, 377.0, 447.0, 236.0, 384.0, 340.0, 292.0, 449.0, 306.0]
T_END = [804.0, 748.0, 767.0, 576.0, 808.0, 898.0, 650.0, 819.0, 798.0, 611.0, 617.0, 752.0, 481.0, 805.0, 726.0]
D_RATE = [0.17, 0.23, 0.13, 0.24, 0.29, 0.13, 0.18, 0.17, 0.27, 0.22, 0.17, 0.15, 0.28, 0.22, 0.1]
IT_D = [0.26, 0.12, 0.24, 0.3, 0.2, 0.18, 0.28, 0.22, 0.16, 0.3, 0.24, 0.17, 0.14, 0.15, 0.13]
IDLING_CONSUME = [0.15, 0.26, 0.2, 0.12, 0.22, 0.12, 0.2, 0.12, 0.15, 0.17, 0.25, 0.23, 0.22, 0.12, 0.19]
