STAGE = 27
MACHINE = [3, 2, 2, 5, 2, 2, 2, 5, 3, 2, 4, 5, 2, 3, 5, 2, 3, 5, 3, 5, 4, 2, 2, 5, 2, 4, 5]
JOB_NUM = 20
PROCESSING_SCHEDULE = 
  JOB0  [62, 62, 83, 89, 79, 99, 77, 39, 45, 44, 40, 98, 43, 91, 55, 61, 97, 51, 78, 38, 45, 24, 61, 36, 51, 73, 41]
  JOB1  [90, 36, 97, 45, 36, 82, 51, 56, 74, 78, 91, 71, 82, 37, 36, 83, 90, 50, 69, 94, 90, 47, 56, 37, 76, 39, 68]
  JOB2  [40, 89, 56, 70, 26, 20, 99, 38, 84, 58, 53, 89, 100, 35, 42, 67, 93, 68, 39, 28, 39, 58, 77, 23, 29, 83, 87]
  JOB3  [90, 27, 48, 37, 59, 74, 39, 75, 20, 46, 63, 99, 74, 83, 90, 85, 22, 86, 45, 87, 84, 98, 38, 24, 66, 62, 97]
  JOB4  [96, 85, 58, 64, 74, 27, 64, 25, 51, 28, 51, 80, 43, 30, 67, 100, 27, 29, 20, 43, 68, 62, 83, 87, 53, 47, 51]
  JOB5  [85, 43, 81, 67, 20, 22, 49, 72, 75, 57, 35, 68, 46, 61, 68, 33, 89, 77, 43, 56, 81, 89, 99, 93, 49, 74, 87]
  JOB6  [93, 70, 96, 26, 24, 23, 51, 26, 91, 46, 100, 85, 67, 82, 92, 65, 67, 40, 74, 100, 32, 96, 97, 93, 93, 43, 23]
  JOB7  [89, 48, 81, 81, 59, 95, 38, 64, 97, 95, 69, 78, 44, 67, 52, 43, 50, 64, 97, 70, 90, 70, 36, 68, 67, 56, 63]
  JOB8  [42, 77, 84, 74, 63, 49, 80, 95, 55, 66, 85, 86, 58, 89, 46, 45, 25, 81, 100, 86, 37, 64, 97, 50, 53, 34, 57]
  JOB9  [97, 39, 52, 70, 95, 26, 78, 90, 86, 42, 26, 55, 41, 89, 94, 21, 95, 28, 40, 69, 37, 93, 85, 71, 30, 75, 95]
  JOB10  [21, 33, 32, 89, 47, 95, 34, 93, 55, 21, 93, 49, 54, 77, 73, 34, 32, 48, 92, 97, 78, 67, 36, 36, 48, 93, 32]
  JOB11  [20, 30, 42, 66, 59, 68, 39, 98, 96, 98, 40, 38, 39, 81, 24, 76, 65, 28, 63, 60, 25, 26, 25, 86, 61, 35, 79]
  JOB12  [60, 87, 70, 48, 32, 84, 77, 49, 59, 27, 55, 60, 36, 33, 65, 25, 46, 23, 94, 49, 98, 51, 67, 57, 43, 31, 31]
  JOB13  [100, 55, 75, 23, 95, 60, 29, 56, 32, 58, 89, 42, 87, 71, 31, 77, 78, 28, 81, 84, 58, 59, 86, 79, 34, 79, 67]
  JOB14  [66, 72, 69, 99, 95, 22, 85, 83, 69, 52, 95, 58, 80, 54, 60, 81, 52, 29, 41, 29, 65, 92, 49, 92, 80, 70, 68]
  JOB15  [38, 87, 96, 99, 30, 50, 98, 21, 90, 88, 86, 76, 70, 38, 87, 62, 32, 38, 25, 21, 86, 73, 28, 40, 71, 31, 32]
  JOB16  [81, 88, 69, 94, 73, 99, 23, 76, 62, 21, 85, 53, 80, 44, 85, 99, 72, 54, 72, 71, 93, 36, 49, 64, 54, 98, 33]
  JOB17  [28, 41, 90, 31, 31, 33, 83, 30, 86, 83, 76, 73, 27, 26, 48, 65, 100, 54, 20, 57, 74, 49, 33, 21, 26, 93, 82]
  JOB18  [75, 25, 65, 89, 28, 80, 31, 49, 57, 65, 66, 32, 52, 25, 80, 21, 53, 65, 52, 89, 41, 34, 90, 72, 53, 23, 23]
  JOB19  [87, 47, 68, 45, 100, 57, 84, 48, 84, 81, 67, 35, 35, 90, 81, 74, 47, 39, 92, 75, 33, 20, 49, 87, 95, 33, 77]
T_START = [503.0, 308.0, 381.0, 418.0, 326.0, 268.0, 314.0, 319.0, 342.0, 312.0, 423.0, 398.0, 255.0, 253.0, 485.0, 268.0, 456.0, 353.0, 371.0, 391.0, 414.0, 326.0, 459.0, 450.0, 430.0, 410.0, 370.0]
T_END = [789.0, 639.0, 974.0, 849.0, 731.0, 617.0, 617.0, 793.0, 711.0, 612.0, 860.0, 742.0, 683.0, 650.0, 715.0, 815.0, 825.0, 617.0, 841.0, 912.0, 727.0, 640.0, 695.0, 681.0, 702.0, 738.0, 799.0]
D_RATE = [0.2, 0.16, 0.24, 0.15, 0.27, 0.12, 0.15, 0.26, 0.17, 0.12, 0.14, 0.13, 0.19, 0.11, 0.29, 0.13, 0.19, 0.28, 0.28, 0.23, 0.19, 0.2, 0.24, 0.22, 0.11, 0.19, 0.19]
IT_D = [0.23, 0.29, 0.21, 0.17, 0.13, 0.12, 0.13, 0.2, 0.26, 0.23, 0.11, 0.25, 0.19, 0.11, 0.3, 0.23, 0.17, 0.22, 0.16, 0.24, 0.24, 0.16, 0.12, 0.25, 0.18, 0.27, 0.25]
IDLING_CONSUME = [0.1, 0.28, 0.25, 0.16, 0.18, 0.14, 0.12, 0.13, 0.17, 0.17, 0.23, 0.21, 0.29, 0.29, 0.26, 0.27, 0.11, 0.1, 0.17, 0.21, 0.11, 0.26, 0.15, 0.1, 0.26, 0.23, 0.12]
