STAGE = 27
MACHINE = [5, 4, 3, 3, 5, 3, 5, 2, 2, 3, 4, 4, 3, 3, 2, 2, 2, 2, 5, 4, 2, 4, 4, 4, 3, 4, 2]
JOB_NUM = 20
PROCESSING_SCHEDULE = 
  JOB0  [49, 99, 91, 49, 33, 57, 57, 35, 80, 65, 56, 86, 51, 23, 80, 22, 66, 70, 62, 81, 54, 98, 38, 56, 45, 53, 87]
  JOB1  [68, 72, 77, 63, 28, 83, 24, 67, 65, 88, 56, 32, 28, 45, 56, 57, 47, 82, 68, 99, 30, 85, 88, 96, 43, 89, 44]
  JOB2  [54, 59, 95, 81, 84, 40, 97, 25, 62, 76, 20, 65, 93, 80, 74, 68, 54, 74, 99, 39, 66, 34, 72, 27, 54, 25, 43]
  JOB3  [94, 99, 66, 82, 78, 68, 69, 49, 44, 26, 40, 22, 95, 37, 63, 91, 92, 66, 85, 46, 61, 73, 58, 55, 87, 98, 35]
  JOB4  [42, 46, 43, 83, 49, 56, 56, 83, 98, 22, 77, 40, 40, 61, 37, 31, 29, 71, 71, 39, 73, 99, 88, 100, 53, 86, 86]
  JOB5  [20, 90, 49, 37, 61, 92, 43, 27, 100, 26, 42, 61, 71, 21, 44, 56, 82, 73, 32, 55, 91, 40, 60, 59, 36, 46, 97]
  JOB6  [82, 75, 34, 60, 79, 97, 85, 55, 63, 99, 49, 64, 54, 25, 81, 56, 57, 62, 60, 80, 50, 72, 58, 58, 22, 87, 58]
  JOB7  [57, 36, 32, 97, 26, 66, 25, 27, 34, 54, 82, 79, 77, 34, 100, 79, 29, 81, 34, 46, 98, 53, 68, 79, 36, 43, 37]
  JOB8  [41, 49, 38, 29, 26, 71, 22, 61, 83, 95, 23, 36, 30, 58, 51, 42, 36, 54, 35, 83, 84, 30, 58, 79, 89, 63, 33]
  JOB9  [99, 92, 88, 52, 87, 92, 27, 22, 64, 85, 47, 89, 59, 80, 63, 89, 98, 67, 56, 68, 100, 62, 31, 26, 64, 100, 97]
  JOB10  [82, 87, 84, 58, 91, 39, 52, 23, 60, 57, 69, 86, 100, 29, 51, 60, 62, 27, 32, 42, 76, 91, 41, 40, 51, 55, 36]
  JOB11  [59, 85, 85, 89, 63, 46, 73, 63, 61, 53, 39, 22, 55, 70, 21, 66, 84, 27, 94, 92, 99, 86, 76, 21, 24, 68, 25]
  JOB12  [56, 95, 42, 23, 87, 36, 73, 56, 88, 20, 54, 87, 36, 95, 46, 67, 91, 39, 99, 88, 33, 89, 98, 71, 30, 59, 74]
  JOB13  [41, 82, 89, 100, 51, 68, 91, 82, 84, 88, 22, 36, 44, 89, 55, 46, 87, 30, 93, 91, 58, 91, 84, 54, 26, 59, 84]
  JOB14  [98, 66, 76, 43, 21, 67, 75, 50, 93, 93, 93, 42, 47, 66, 35, 95, 81, 66, 20, 35, 89, 35, 56, 58, 59, 28, 85]
  JOB15  [43, 60, 38, 35, 33, 100, 38, 32, 91, 28, 33, 57, 33, 73, 34, 72, 36, 79, 38, 34, 35, 56, 39, 48, 32, 76, 51]
  JOB16  [30, 30, 74, 69, 28, 45, 26, 71, 82, 55, 73, 86, 57, 80, 78, 39, 84, 49, 84, 73, 90, 83, 25, 49, 73, 46, 48]
  JOB17  [52, 21, 75, 43, 73, 32, 32, 22, 35, 28, 52, 69, 20, 96, 68, 72, 76, 25, 70, 61, 88, 32, 86, 46, 55, 92, 66]
  JOB18  [47, 92, 91, 51, 52, 47, 49, 91, 99, 27, 45, 91, 86, 20, 70, 89, 63, 58, 20, 47, 91, 59, 62, 28, 34, 42, 45]
  JOB19  [20, 26, 63, 45, 28, 26, 48, 32, 40, 77, 43, 81, 30, 86, 45, 23, 74, 43, 85, 24, 87, 48, 52, 55, 100, 37, 21]
T_START = [340.0, 504.0, 386.0, 309.0, 270.0, 270.0, 234.0, 311.0, 371.0, 314.0, 335.0, 369.0, 232.0, 432.0, 346.0, 366.0, 372.0, 354.0, 371.0, 269.0, 450.0, 487.0, 446.0, 354.0, 223.0, 376.0, 253.0]
T_END = [658.0, 776.0, 745.0, 761.0, 668.0, 639.0, 605.0, 574.0, 927.0, 697.0, 599.0, 652.0, 564.0, 806.0, 680.0, 708.0, 837.0, 640.0, 693.0, 770.0, 959.0, 697.0, 693.0, 597.0, 588.0, 639.0, 783.0]
D_RATE = [0.18, 0.11, 0.29, 0.15, 0.28, 0.19, 0.19, 0.21, 0.18, 0.22, 0.27, 0.26, 0.28, 0.3, 0.27, 0.23, 0.29, 0.26, 0.13, 0.17, 0.1, 0.21, 0.25, 0.29, 0.14, 0.28, 0.2]
IT_D = [0.18, 0.17, 0.11, 0.15, 0.25, 0.3, 0.26, 0.16, 0.12, 0.14, 0.18, 0.19, 0.26, 0.14, 0.14, 0.23, 0.25, 0.29, 0.19, 0.11, 0.25, 0.24, 0.16, 0.15, 0.18, 0.23, 0.28]
IDLING_CONSUME = [0.14, 0.19, 0.18, 0.2, 0.17, 0.2, 0.22, 0.26, 0.25, 0.2, 0.21, 0.21, 0.28, 0.21, 0.2, 0.15, 0.29, 0.26, 0.28, 0.28, 0.13, 0.28, 0.1, 0.24, 0.15, 0.22, 0.26]
