STAGE = 18
MACHINE = [4, 4, 3, 3, 5, 5, 3, 4, 2, 5, 3, 5, 2, 2, 4, 3, 4, 4]
JOB_NUM = 20
PROCESSING_SCHEDULE = 
  JOB0  [83, 84, 74, 39, 41, 83, 57, 88, 99, 48, 95, 21, 71, 82, 50, 69, 30, 66]
  JOB1  [55, 75, 70, 58, 96, 87, 52, 93, 61, 67, 39, 66, 28, 67, 71, 48, 72, 42]
  JOB2  [41, 79, 87, 21, 83, 33, 73, 90, 37, 21, 39, 41, 77, 56, 60, 44, 93, 85]
  JOB3  [75, 30, 31, 65, 98, 55, 99, 63, 84, 31, 53, 30, 100, 63, 79, 34, 70, 26]
  JOB4  [90, 56, 100, 84, 61, 65, 49, 66, 91, 48, 88, 42, 32, 92, 46, 86, 66, 23]
  JOB5  [43, 62, 57, 57, 92, 56, 31, 86, 28, 53, 51, 78, 88, 79, 22, 21, 74, 31]
  JOB6  [77, 75, 82, 86, 44, 68, 65, 81, 53, 98, 35, 75, 20, 40, 78, 29, 93, 78]
  JOB7  [69, 90, 55, 67, 30, 68, 32, 34, 38, 83, 45, 22, 22, 33, 81, 58, 81, 72]
  JOB8  [70, 98, 97, 35, 27, 41, 36, 39, 39, 26, 84, 35, 73, 67, 22, 39, 91, 39]
  JOB9  [76, 91, 54, 25, 97, 30, 93, 84, 72, 90, 83, 54, 83, 53, 68, 53, 89, 96]
  JOB10  [25, 84, 99, 51, 57, 46, 43, 64, 84, 75, 88, 87, 90, 21, 28, 58, 89, 91]
  JOB11  [68, 99, 63, 81, 28, 26, 46, 29, 67, 78, 71, 99, 75, 52, 31, 47, 97, 32]
  JOB12  [38, 68, 80, 47, 80, 37, 36, 56, 59, 76, 61, 81, 34, 50, 83, 59, 56, 62]
  JOB13  [63, 40, 100, 53, 76, 74, 36, 54, 80, 67, 70, 100, 52, 35, 59, 25, 55, 84]
  JOB14  [21, 33, 30, 61, 31, 91, 21, 72, 82, 50, 84, 90, 80, 43, 47, 54, 84, 75]
  JOB15  [70, 84, 88, 23, 71, 22, 84, 59, 52, 22, 81, 93, 51, 83, 74, 97, 44, 43]
  JOB16  [39, 38, 27, 80, 62, 94, 77, 95, 97, 99, 64, 30, 46, 28, 97, 47, 36, 74]
  JOB17  [47, 31, 95, 27, 49, 39, 77, 85, 27, 79, 85, 72, 76, 24, 84, 94, 48, 38]
  JOB18  [63, 65, 26, 33, 78, 36, 44, 82, 40, 63, 52, 67, 41, 40, 40, 77, 75, 36]
  JOB19  [65, 76, 64, 90, 84, 77, 70, 83, 20, 82, 28, 32, 54, 79, 45, 93, 37, 61]
T_START = [342.0, 299.0, 496.0, 249.0, 450.0, 417.0, 336.0, 421.0, 315.0, 477.0, 272.0, 437.0, 334.0, 315.0, 419.0, 351.0, 497.0, 358.0]
T_END = [695.0, 856.0, 938.0, 574.0, 732.0, 699.0, 717.0, 786.0, 738.0, 728.0, 907.0, 838.0, 728.0, 641.0, 781.0, 634.0, 718.0, 773.0]
D_RATE = [0.12, 0.11, 0.15, 0.2, 0.17, 0.26, 0.27, 0.16, 0.12, 0.16, 0.13, 0.28, 0.11, 0.13, 0.12, 0.21, 0.19, 0.22]
IT_D = [0.14, 0.28, 0.2, 0.19, 0.17, 0.23, 0.15, 0.17, 0.13, 0.13, 0.3, 0.11, 0.11, 0.21, 0.15, 0.12, 0.24, 0.27]
IDLING_CONSUME = [0.26, 0.24, 0.11, 0.11, 0.16, 0.21, 0.24, 0.17, 0.23, 0.22, 0.3, 0.14, 0.17, 0.1, 0.18, 0.11, 0.12, 0.2]
