STAGE = 28
MACHINE = [3, 3, 5, 2, 3, 4, 2, 4, 5, 5, 3, 5, 3, 3, 5, 3, 2, 5, 2, 2, 5, 4, 2, 5, 5, 5, 5, 4]
JOB_NUM = 20
PROCESSING_SCHEDULE = 
  JOB0  [53, 66, 87, 58, 66, 88, 52, 64, 53, 40, 32, 76, 44, 31, 75, 82, 50, 42, 50, 30, 93, 48, 93, 27, 88, 76, 59, 84]
  JOB1  [88, 62, 99, 31, 47, 25, 28, 99, 33, 40, 24, 80, 92, 57, 78, 39, 38, 20, 100, 33, 67, 69, 76, 71, 55, 47, 33, 70]
  JOB2  [54, 43, 20, 64, 86, 59, 55, 21, 61, 96, 20, 49, 67, 42, 80, 97, 30, 31, 70, 69, 45, 100, 23, 33, 62, 64, 53, 100]
  JOB3  [65, 43, 74, 54, 70, 23, 70, 25, 38, 36, 89, 48, 32, 92, 20, 70, 24, 75, 82, 46, 78, 25, 42, 20, 79, 21, 55, 29]
  JOB4  [77, 69, 30, 22, 29, 51, 52, 28, 66, 71, 92, 23, 26, 26, 54, 77, 59, 94, 65, 44, 72, 33, 28, 40, 21, 48, 67, 65]
  JOB5  [51, 32, 69, 53, 71, 22, 83, 47, 28, 77, 59, 76, 57, 34, 59, 45, 88, 46, 40, 96, 22, 30, 79, 80, 25, 89, 80, 58]
  JOB6  [58, 53, 91, 30, 65, 23, 71, 59, 56, 35, 91, 76, 46, 60, 21, 24, 54, 41, 38, 31, 97, 45, 35, 93, 43, 38, 56, 61]
  JOB7  [80, 86, 56, 62, 33, 84, 91, 38, 20, 56, 51, 26, 30, 24, 27, 87, 40, 64, 59, 95, 79, 89, 68, 67, 68, 93, 51, 85]
  JOB8  [58, 78, 58, 94, 87, 27, 28, 68, 67, 89, 97, 35, 27, 36, 55, 37, 49, 22, 24, 24, 40, 53, 39, 94, 71, 89, 72, 53]
  JOB9  [59, 22, 62, 42, 25, 80, 64, 25, 82, 61, 98, 74, 20, 64, 70, 47, 75, 37, 80, 73, 74, 89, 25, 80, 76, 77, 70, 69]
  JOB10  [97, 25, 72, 99, 62, 73, 28, 22, 98, 54, 62, 87, 71, 59, 86, 39, 87, 47, 60, 79, 63, 68, 26, 43, 98, 29, 83, 68]
  JOB11  [31, 90, 63, 79, 70, 87, 94, 77, 35, 88, 71, 71, 82, 84, 98, 55, 60, 67, 78, 64, 86, 82, 34, 73, 30, 82, 47, 96]
  JOB12  [37, 32, 25, 51, 33, 71, 32, 87, 83, 53, 48, 80, 96, 66, 43, 57, 47, 59, 33, 33, 89, 64, 35, 31, 33, 49, 20, 32]
  JOB13  [63, 58, 83, 33, 64, 85, 65, 60, 47, 65, 51, 76, 27, 41, 72, 76, 54, 75, 82, 41, 20, 56, 38, 65, 76, 87, 82, 57]
  JOB14  [54, 80, 41, 51, 40, 21, 47, 72, 27, 49, 93, 72, 96, 48, 100, 32, 58, 40, 59, 56, 77, 85, 99, 50, 20, 23, 21, 24]
  JOB15  [68, 96, 43, 71, 56, 63, 65, 100, 28, 66, 49, 69, 46, 83, 23, 53, 95, 39, 81, 65, 35, 77, 73, 96, 64, 34, 63, 30]
  JOB16  [89, 82, 48, 39, 42, 58, 70, 31, 20, 92, 84, 27, 70, 68, 90, 48, 77, 20, 34, 26, 41, 89, 76, 75, 76, 22, 42, 37]
  JOB17  [55, 36, 91, 45, 58, 24, 73, 86, 43, 81, 65, 39, 67, 87, 24, 37, 85, 29, 71, 76, 72, 22, 38, 34, 79, 82, 53, 82]
  JOB18  [71, 80, 58, 28, 67, 59, 34, 79, 96, 29, 73, 57, 53, 23, 71, 85, 47, 33, 43, 53, 92, 37, 37, 63, 61, 75, 48, 98]
  JOB19  [92, 48, 20, 37, 36, 60, 84, 87, 38, 33, 100, 91, 52, 43, 25, 89, 50, 61, 92, 87, 43, 94, 44, 98, 25, 90, 26, 99]
T_START = [286.0, 472.0, 452.0, 375.0, 310.0, 347.0, 296.0, 235.0, 296.0, 460.0, 283.0, 320.0, 231.0, 288.0, 386.0, 235.0, 315.0, 339.0, 484.0, 437.0, 386.0, 389.0, 252.0, 469.0, 345.0, 450.0, 346.0, 337.0]
T_END = [819.0, 685.0, 762.0, 668.0, 764.0, 617.0, 771.0, 822.0, 652.0, 618.0, 850.0, 825.0, 606.0, 694.0, 691.0, 706.0, 700.0, 593.0, 732.0, 773.0, 861.0, 828.0, 524.0, 727.0, 644.0, 668.0, 681.0, 700.0]
D_RATE = [0.22, 0.21, 0.13, 0.12, 0.15, 0.16, 0.1, 0.24, 0.16, 0.21, 0.23, 0.22, 0.3, 0.14, 0.16, 0.2, 0.14, 0.25, 0.15, 0.12, 0.29, 0.28, 0.24, 0.15, 0.13, 0.2, 0.28, 0.3]
IT_D = [0.28, 0.28, 0.16, 0.2, 0.28, 0.22, 0.17, 0.23, 0.19, 0.24, 0.28, 0.27, 0.17, 0.29, 0.22, 0.15, 0.27, 0.19, 0.28, 0.18, 0.26, 0.24, 0.12, 0.2, 0.21, 0.13, 0.14, 0.13]
IDLING_CONSUME = [0.26, 0.18, 0.12, 0.23, 0.1, 0.19, 0.13, 0.23, 0.19, 0.28, 0.1, 0.23, 0.19, 0.29, 0.21, 0.15, 0.29, 0.23, 0.25, 0.2, 0.29, 0.25, 0.12, 0.29, 0.11, 0.25, 0.25, 0.16]
