STAGE = 15
MACHINE = [3, 3, 4, 2, 4, 2, 2, 3, 3, 3, 4, 3, 4, 4, 2]
JOB_NUM = 20
PROCESSING_SCHEDULE = 
  JOB0  [86, 50, 73, 96, 90, 80, 26, 73, 100, 61, 21, 42, 79, 84, 27]
  JOB1  [61, 72, 84, 41, 53, 42, 38, 21, 75, 85, 77, 89, 53, 96, 34]
  JOB2  [74, 90, 75, 64, 29, 76, 22, 66, 21, 90, 56, 77, 82, 53, 36]
  JOB3  [55, 40, 65, 79, 78, 51, 61, 55, 28, 71, 70, 37, 42, 24, 38]
  JOB4  [29, 68, 61, 94, 24, 79, 20, 39, 57, 32, 58, 51, 56, 38, 36]
  JOB5  [26, 80, 23, 72, 43, 20, 54, 39, 26, 70, 85, 63, 29, 78, 54]
  JOB6  [92, 28, 31, 64, 25, 91, 29, 64, 62, 51, 36, 69, 100, 61, 62]
  JOB7  [38, 83, 37, 22, 28, 62, 22, 71, 40, 74, 75, 91, 32, 25, 74]
  JOB8  [45, 68, 35, 48, 90, 50, 54, 73, 94, 86, 34, 79, 60, 68, 29]
  JOB9  [81, 73, 41, 23, 86, 79, 54, 33, 53, 64, 49, 77, 41, 42, 62]
  JOB10  [56, 95, 50, 96, 29, 47, 20, 81, 97, 47, 83, 43, 99, 26, 92]
  JOB11  [90, 43, 37, 54, 48, 78, 82, 50, 94, 85, 54, 79, 68, 87, 97]
  JOB12  [35, 89, 69, 50, 94, 71, 90, 98, 98, 81, 89, 71, 46, 23, 66]
  JOB13  [61, 38, 79, 28, 44, 48, 73, 21, 23, 80, 77, 49, 48, 88, 84]
  JOB14  [35, 96, 50, 39, 91, 22, 73, 83, 34, 24, 54, 53, 91, 45, 46]
  JOB15  [63, 30, 60, 71, 45, 89, 44, 51, 42, 62, 54, 46, 97, 35, 44]
  JOB16  [85, 65, 40, 41, 47, 71, 69, 25, 44, 43, 94, 64, 60, 27, 91]
  JOB17  [57, 36, 31, 58, 98, 48, 27, 86, 27, 82, 80, 88, 71, 96, 58]
  JOB18  [81, 82, 73, 35, 24, 83, 25, 81, 93, 27, 46, 24, 57, 53, 34]
  JOB19  [65, 59, 100, 72, 94, 65, 26, 91, 29, 91, 49, 29, 61, 86, 71]
T_START = [413.0, 296.0, 390.0, 379.0, 452.0, 438.0, 209.0, 456.0, 409.0, 470.0, 447.0, 452.0, 445.0, 284.0, 250.0]
T_END = [814.0, 707.0, 735.0, 791.0, 766.0, 826.0, 591.0, 733.0, 739.0, 771.0, 831.0, 708.0, 674.0, 613.0, 783.0]
D_RATE = [0.27, 0.23, 0.21, 0.27, 0.21, 0.22, 0.24, 0.21, 0.18, 0.24, 0.2, 0.3, 0.13, 0.25, 0.25]
IT_D = [0.14, 0.23, 0.14, 0.29, 0.21, 0.21, 0.15, 0.18, 0.25, 0.21, 0.2, 0.15, 0.12, 0.16, 0.28]
IDLING_CONSUME = [0.24, 0.26, 0.23, 0.12, 0.13, 0.1, 0.17, 0.29, 0.23, 0.16, 0.14, 0.17, 0.14, 0.18, 0.13]
