STAGE = 24
MACHINE = [2, 5, 3, 5, 5, 2, 4, 4, 4, 4, 4, 2, 5, 5, 5, 2, 3, 2, 4, 5, 2, 2, 4, 2]
JOB_NUM = 20
PROCESSING_SCHEDULE = 
  JOB0  [93, 96, 92, 89, 53, 81, 65, 44, 45, 72, 25, 84, 48, 53, 66, 87, 78, 53, 99, 57, 80, 47, 61, 44]
  JOB1  [66, 63, 55, 39, 43, 84, 68, 78, 31, 22, 24, 95, 84, 81, 78, 91, 65, 34, 85, 23, 81, 78, 56, 58]
  JOB2  [74, 57, 73, 41, 75, 30, 24, 83, 25, 62, 84, 81, 48, 99, 44, 44, 81, 67, 89, 63, 40, 45, 91, 89]
  JOB3  [69, 98, 83, 79, 69, 54, 96, 95, 50, 34, 74, 52, 75, 63, 68, 86, 31, 38, 26, 89, 60, 72, 69, 75]
  JOB4  [59, 92, 50, 39, 52, 97, 26, 58, 24, 79, 28, 94, 62, 34, 93, 51, 98, 53, 91, 22, 79, 23, 26, 69]
  JOB5  [68, 77, 88, 79, 94, 85, 68, 79, 91, 39, 69, 76, 92, 23, 26, 94, 31, 66, 88, 90, 46, 95, 27, 65]
  JOB6  [85, 67, 34, 54, 39, 25, 100, 21, 24, 22, 97, 91, 67, 92, 56, 98, 47, 22, 58, 61, 84, 84, 81, 76]
  JOB7  [64, 28, 81, 47, 86, 71, 94, 92, 92, 74, 91, 42, 69, 44, 60, 94, 28, 95, 52, 80, 31, 55, 36, 46]
  JOB8  [75, 45, 81, 59, 40, 88, 37, 42, 38, 98, 83, 24, 38, 88, 46, 92, 96, 63, 98, 69, 58, 55, 39, 97]
  JOB9  [76, 73, 78, 76, 62, 51, 20, 69, 94, 100, 62, 25, 70, 79, 21, 26, 75, 57, 96, 96, 72, 58, 92, 93]
  JOB10  [35, 57, 52, 23, 45, 24, 61, 94, 77, 40, 36, 98, 34, 96, 33, 68, 61, 97, 45, 95, 75, 84, 57, 89]
  JOB11  [27, 32, 47, 58, 43, 54, 43, 20, 38, 79, 90, 60, 71, 47, 60, 89, 25, 70, 31, 46, 80, 71, 77, 64]
  JOB12  [52, 54, 71, 89, 63, 56, 35, 66, 82, 75, 86, 44, 57, 93, 21, 69, 32, 31, 68, 91, 37, 58, 40, 34]
  JOB13  [44, 59, 98, 38, 53, 76, 60, 20, 68, 72, 61, 68, 57, 33, 29, 51, 23, 74, 64, 100, 27, 71, 39, 41]
  JOB14  [96, 44, 44, 49, 71, 46, 75, 64, 44, 96, 51, 30, 45, 88, 28, 28, 91, 93, 94, 89, 51, 64, 57, 97]
  JOB15  [35, 86, 92, 26, 65, 30, 21, 71, 37, 42, 22, 85, 39, 25, 49, 58, 100, 25, 76, 25, 60, 98, 32, 30]
  JOB16  [30, 63, 34, 20, 100, 32, 83, 82, 91, 36, 57, 57, 96, 87, 46, 79, 32, 57, 57, 58, 77, 98, 59, 72]
  JOB17  [31, 28, 69, 74, 61, 33, 27, 82, 50, 93, 23, 38, 94, 34, 39, 29, 61, 41, 57, 97, 72, 69, 80, 36]
  JOB18  [34, 95, 86, 94, 66, 86, 22, 79, 73, 89, 48, 32, 20, 38, 76, 78, 37, 77, 41, 37, 47, 43, 44, 38]
  JOB19  [78, 73, 57, 60, 74, 79, 39, 68, 51, 34, 95, 48, 31, 91, 71, 27, 65, 84, 21, 25, 38, 40, 44, 98]
T_START = [369.0, 502.0, 464.0, 317.0, 464.0, 390.0, 255.0, 314.0, 259.0, 403.0, 458.0, 355.0, 311.0, 502.0, 273.0, 281.0, 336.0, 371.0, 401.0, 341.0, 466.0, 497.0, 255.0, 262.0]
T_END = [798.0, 824.0, 792.0, 657.0, 777.0, 780.0, 670.0, 810.0, 652.0, 843.0, 724.0, 747.0, 802.0, 811.0, 616.0, 830.0, 798.0, 778.0, 721.0, 735.0, 765.0, 706.0, 609.0, 747.0]
D_RATE = [0.16, 0.2, 0.29, 0.25, 0.21, 0.3, 0.13, 0.24, 0.26, 0.18, 0.16, 0.19, 0.28, 0.26, 0.11, 0.14, 0.2, 0.27, 0.1, 0.11, 0.29, 0.13, 0.13, 0.3]
IT_D = [0.24, 0.29, 0.11, 0.19, 0.14, 0.28, 0.15, 0.17, 0.19, 0.18, 0.25, 0.2, 0.2, 0.12, 0.27, 0.2, 0.28, 0.21, 0.24, 0.3, 0.17, 0.22, 0.18, 0.15]
IDLING_CONSUME = [0.26, 0.23, 0.14, 0.11, 0.3, 0.17, 0.15, 0.28, 0.28, 0.27, 0.11, 0.16, 0.19, 0.14, 0.28, 0.24, 0.14, 0.18, 0.14, 0.19, 0.16, 0.21, 0.11, 0.25]
