STAGE = 25
MACHINE = [3, 2, 4, 3, 4, 3, 4, 3, 3, 5, 4, 2, 4, 4, 3, 3, 3, 4, 3, 5, 3, 3, 4, 3, 5]
JOB_NUM = 20
PROCESSING_SCHEDULE = 
  JOB0  [85, 35, 70, 21, 69, 70, 79, 49, 85, 61, 40, 21, 49, 55, 75, 74, 87, 47, 73, 80, 39, 46, 68, 26, 96]
  JOB1  [49, 56, 46, 93, 99, 100, 96, 36, 86, 33, 85, 79, 37, 32, 86, 78, 23, 29, 60, 71, 85, 76, 91, 44, 69]
  JOB2  [52, 98, 70, 67, 27, 49, 49, 61, 40, 68, 72, 78, 50, 92, 70, 48, 74, 62, 60, 67, 95, 63, 89, 83, 45]
  JOB3  [27, 75, 90, 53, 51, 71, 56, 56, 78, 55, 30, 46, 48, 96, 80, 45, 82, 51, 84, 61, 58, 59, 93, 29, 80]
  JOB4  [83, 69, 78, 86, 37, 56, 32, 44, 99, 70, 35, 41, 90, 31, 52, 98, 43, 59, 93, 56, 86, 60, 47, 88, 81]
  JOB5  [78, 82, 65, 70, 51, 40, 33, 61, 74, 62, 90, 100, 20, 35, 33, 71, 67, 48, 54, 24, 50, 26, 35, 44, 95]
  JOB6  [37, 59, 48, 92, 49, 32, 48, 39, 87, 34, 68, 94, 77, 46, 35, 56, 73, 94, 61, 83, 81, 70, 30, 26, 87]
  JOB7  [31, 56, 30, 23, 72, 61, 28, 83, 28, 92, 20, 22, 90, 84, 64, 24, 34, 47, 44, 99, 92, 99, 95, 38, 97]
  JOB8  [74, 90, 70, 39, 71, 41, 81, 52, 58, 58, 86, 27, 75, 44, 40, 30, 39, 78, 91, 54, 54, 31, 74, 36, 85]
  JOB9  [34, 68, 28, 73, 37, 26, 22, 58, 35, 63, 96, 75, 39, 40, 85, 56, 66, 43, 97, 53, 31, 70, 90, 53, 100]
  JOB10  [81, 93, 53, 65, 51, 100, 52, 58, 45, 72, 40, 78, 65, 41, 27, 43, 90, 32, 46, 68, 83, 67, 41, 68, 78]
  JOB11  [31, 80, 53, 71, 88, 98, 36, 67, 100, 75, 48, 39, 69, 78, 91, 63, 79, 77, 87, 69, 56, 35, 41, 50, 21]
  JOB12  [74, 29, 96, 49, 97, 35, 68, 89, 97, 70, 28, 76, 57, 74, 34, 96, 75, 47, 92, 93, 40, 22, 97, 46, 38]
  JOB13  [34, 84, 71, 49, 86, 51, 49, 67, 68, 49, 47, 89, 20, 95, 93, 38, 35, 70, 95, 36, 74, 36, 48, 97, 44]
  JOB14  [28, 50, 37, 32, 96, 69, 39, 52, 92, 64, 23, 76, 77, 67, 80, 100, 29, 67, 33, 90, 23, 22, 81, 89, 21]
  JOB15  [79, 68, 64, 34, 85, 31, 64, 64, 71, 32, 68, 28, 56, 46, 71, 64, 41, 95, 55, 81, 78, 65, 83, 27, 53]
  JOB16  [91, 23, 85, 100, 20, 96, 76, 51, 81, 49, 54, 70, 38, 62, 31, 76, 47, 50, 55, 51, 46, 86, 96, 69, 99]
  JOB17  [37, 36, 59, 23, 30, 59, 69, 94, 31, 49, 27, 49, 42, 42, 99, 40, 37, 23, 46, 48, 81, 56, 71, 69, 95]
  JOB18  [35, 59, 66, 32, 67, 78, 39, 35, 31, 46, 24, 54, 34, 46, 100, 43, 75, 37, 26, 70, 94, 63, 59, 63, 23]
  JOB19  [27, 32, 89, 59, 30, 47, 81, 61, 45, 34, 89, 89, 29, 56, 46, 65, 100, 52, 22, 100, 52, 57, 89, 88, 58]
T_START = [288.0, 484.0, 456.0, 260.0, 255.0, 339.0, 417.0, 424.0, 359.0, 307.0, 246.0, 295.0, 319.0, 302.0, 271.0, 374.0, 383.0, 399.0, 306.0, 528.0, 324.0, 377.0, 440.0, 397.0, 382.0]
T_END = [651.0, 782.0, 748.0, 780.0, 776.0, 653.0, 680.0, 694.0, 785.0, 613.0, 696.0, 739.0, 712.0, 639.0, 646.0, 689.0, 646.0, 609.0, 892.0, 934.0, 675.0, 643.0, 822.0, 759.0, 833.0]
D_RATE = [0.17, 0.29, 0.29, 0.21, 0.15, 0.18, 0.27, 0.16, 0.25, 0.14, 0.12, 0.21, 0.26, 0.14, 0.25, 0.24, 0.23, 0.15, 0.17, 0.15, 0.19, 0.18, 0.24, 0.27, 0.16]
IT_D = [0.18, 0.16, 0.27, 0.3, 0.18, 0.15, 0.19, 0.17, 0.27, 0.22, 0.13, 0.19, 0.19, 0.1, 0.25, 0.17, 0.22, 0.27, 0.26, 0.24, 0.14, 0.14, 0.17, 0.24, 0.13]
IDLING_CONSUME = [0.11, 0.25, 0.18, 0.16, 0.19, 0.26, 0.12, 0.13, 0.3, 0.16, 0.29, 0.23, 0.22, 0.21, 0.21, 0.13, 0.28, 0.22, 0.17, 0.17, 0.22, 0.14, 0.18, 0.23, 0.19]
