STAGE = 19
MACHINE = [4, 4, 4, 5, 3, 2, 5, 3, 2, 4, 3, 2, 5, 4, 3, 2, 2, 3, 4]
JOB_NUM = 40
PROCESSING_SCHEDULE = 
  JOB0  [96, 93, 63, 28, 31, 36, 39, 27, 79, 93, 61, 29, 56, 78, 30, 29, 30, 37, 55]
  JOB1  [79, 68, 81, 44, 26, 36, 66, 92, 98, 94, 47, 64, 41, 78, 59, 65, 24, 47, 30]
  JOB2  [67, 86, 69, 55, 74, 71, 89, 67, 84, 61, 45, 80, 67, 39, 30, 30, 29, 53, 76]
  JOB3  [98, 36, 25, 63, 78, 42, 69, 39, 58, 64, 70, 58, 58, 30, 27, 87, 32, 97, 46]
  JOB4  [70, 95, 30, 35, 75, 80, 35, 52, 83, 76, 81, 42, 50, 44, 54, 73, 99, 61, 78]
  JOB5  [42, 48, 38, 25, 81, 89, 41, 32, 67, 82, 21, 65, 77, 91, 58, 34, 86, 43, 99]
  JOB6  [53, 94, 81, 40, 64, 73, 96, 75, 96, 32, 35, 68, 78, 57, 85, 21, 87, 87, 92]
  JOB7  [91, 60, 51, 56, 22, 63, 33, 71, 97, 38, 34, 78, 28, 50, 35, 33, 66, 54, 86]
  JOB8  [41, 48, 97, 25, 34, 99, 36, 56, 78, 82, 55, 67, 79, 81, 84, 66, 27, 95, 24]
  JOB9  [94, 23, 75, 69, 58, 63, 26, 25, 23, 86, 79, 89, 59, 20, 71, 26, 97, 32, 68]
  JOB10  [42, 55, 34, 69, 96, 74, 34, 66, 59, 24, 87, 32, 22, 25, 36, 55, 91, 54, 64]
  JOB11  [96, 20, 96, 88, 49, 93, 45, 24, 62, 73, 55, 32, 36, 73, 64, 87, 42, 50, 65]
  JOB12  [46, 95, 94, 45, 30, 67, 59, 63, 72, 69, 66, 68, 29, 61, 89, 95, 24, 64, 39]
  JOB13  [84, 57, 74, 51, 50, 55, 43, 86, 82, 82, 75, 32, 86, 56, 40, 25, 83, 96, 29]
  JOB14  [32, 69, 20, 35, 37, 98, 59, 63, 90, 94, 41, 95, 27, 80, 21, 84, 70, 78, 80]
  JOB15  [80, 21, 38, 57, 97, 65, 94, 33, 76, 83, 30, 44, 93, 35, 59, 33, 38, 80, 70]
  JOB16  [22, 66, 96, 58, 84, 26, 49, 59, 81, 78, 100, 67, 55, 26, 74, 76, 28, 46, 20]
  JOB17  [22, 71, 71, 36, 83, 23, 56, 26, 27, 37, 53, 77, 69, 34, 38, 81, 21, 49, 45]
  JOB18  [20, 82, 27, 89, 100, 85, 72, 58, 81, 62, 88, 94, 88, 31, 43, 56, 85, 60, 88]
  JOB19  [34, 72, 92, 99, 84, 24, 34, 58, 74, 47, 94, 37, 97, 82, 34, 51, 32, 33, 70]
  JOB20  [27, 54, 76, 88, 89, 75, 59, 84, 78, 26, 79, 94, 99, 66, 33, 23, 80, 78, 25]
  JOB21  [26, 87, 99, 93, 96, 36, 23, 30, 93, 42, 49, 65, 73, 100, 92, 77, 48, 23, 96]
  JOB22  [54, 97, 47, 37, 85, 57, 59, 30, 75, 57, 63, 95, 37, 65, 66, 50, 69, 38, 76]
  JOB23  [89, 29, 69, 30, 97, 42, 40, 28, 20, 54, 25, 53, 85, 26, 33, 70, 69, 35, 60]
  JOB24  [43, 55, 80, 89, 76, 81, 62, 84, 89, 27, 72, 42, 76, 24, 74, 74, 91, 38, 35]
  JOB25  [97, 30, 36, 26, 40, 65, 89, 65, 36, 87, 78, 74, 89, 67, 42, 57, 53, 86, 32]
