STAGE = 23
MACHINE = [5, 2, 4, 2, 3, 5, 2, 4, 4, 3, 5, 2, 5, 3, 3, 3, 5, 4, 4, 5, 4, 2, 2]
JOB_NUM = 40
PROCESSING_SCHEDULE = 
  JOB0  [93, 23, 97, 34, 27, 87, 69, 50, 49, 32, 75, 90, 23, 89, 26, 29, 76, 56, 40, 42, 37, 55, 90]
  JOB1  [34, 76, 53, 51, 61, 63, 30, 25, 52, 31, 25, 91, 34, 45, 51, 36, 58, 60, 73, 43, 48, 75, 38]
  JOB2  [36, 48, 68, 50, 97, 58, 69, 53, 66, 92, 35, 38, 47, 52, 24, 100, 22, 42, 47, 63, 87, 64, 69]
  JOB3  [62, 51, 87, 84, 88, 37, 83, 71, 36, 71, 33, 39, 49, 27, 20, 27, 52, 49, 66, 90, 98, 95, 54]
  JOB4  [42, 61, 66, 23, 30, 81, 20, 41, 78, 33, 99, 89, 89, 33, 64, 47, 74, 91, 82, 92, 20, 95, 28]
  JOB5  [67, 33, 95, 69, 20, 25, 40, 88, 23, 21, 20, 55, 54, 46, 87, 49, 48, 37, 49, 96, 68, 72, 55]
  JOB6  [75, 49, 56, 35, 61, 56, 67, 50, 28, 62, 65, 90, 96, 45, 99, 62, 38, 90, 80, 35, 37, 47, 42]
  JOB7  [81, 26, 92, 36, 84, 31, 47, 32, 42, 93, 25, 86, 75, 22, 77, 57, 72, 97, 99, 57, 51, 100, 50]
  JOB8  [25, 53, 55, 67, 78, 49, 57, 91, 48, 84, 85, 78, 85, 46, 43, 77, 88, 45, 94, 73, 55, 46, 52]
  JOB9  [98, 61, 83, 51, 89, 69, 62, 62, 31, 92, 82, 85, 84, 62, 57, 58, 33, 49, 46, 56, 98, 58, 71]
  JOB10  [69, 85, 58, 70, 20, 91, 44, 72, 22, 94, 33, 25, 45, 61, 66, 78, 74, 22, 93, 24, 88, 46, 46]
  JOB11  [43, 42, 48, 53, 45, 75, 36, 88, 75, 80, 82, 47, 45, 92, 69, 82, 80, 67, 51, 23, 54, 75, 33]
  JOB12  [69, 72, 48, 48, 66, 78, 84, 64, 53, 65, 43, 44, 75, 92, 28, 72, 31, 99, 73, 43, 27, 25, 37]
  JOB13  [71, 37, 100, 66, 91, 27, 86, 34, 35, 97, 75, 57, 21, 24, 58, 61, 66, 48, 27, 95, 45, 52, 87]
  JOB14  [35, 66, 33, 61, 48, 68, 58, 49, 75, 25, 82, 67, 82, 70, 66, 59, 54, 54, 92, 51, 67, 92, 62]
  JOB15  [41, 97, 32, 41, 51, 57, 62, 54, 31, 95, 31, 95, 59, 31, 22, 22, 52, 20, 61, 72, 29, 100, 60]
  JOB16  [62, 77, 50, 62, 22, 97, 70, 20, 77, 29, 73, 46, 74, 34, 90, 84, 29, 53, 25, 74, 33, 73, 81]
