STAGE = 30
MACHINE = [5, 4, 4, 2, 4, 2, 5, 4, 5, 3, 2, 5, 5, 2, 5, 4, 4, 2, 4, 4, 5, 4, 2, 3, 2, 4, 3, 5, 3, 3]
JOB_NUM = 40
PROCESSING_SCHEDULE = 
  JOB0  [57, 41, 97, 30, 52, 30, 84, 31, 24, 34, 54, 72, 26, 39, 38, 88, 85, 23, 58, 83, 43, 56, 53, 81, 60, 48, 21, 73, 85, 97]
  JOB1  [51, 55, 66, 27, 85, 33, 81, 59, 34, 38, 93, 84, 97, 46, 27, 54, 62, 92, 62, 33, 22, 49, 84, 35, 95, 92, 95, 46, 72, 58]
  JOB2  [91, 43, 76, 88, 93, 39, 81, 55, 89, 61, 74, 25, 62, 90, 32, 54, 58, 34, 66, 38, 99, 29, 24, 66, 35, 68, 76, 79, 72, 94]
  JOB3  [34, 35, 75, 71, 73, 61, 55, 63, 39, 66, 97, 57, 86, 97, 63, 71, 68, 50, 95, 60, 56, 79, 35, 41, 59, 37, 92, 22, 94, 46]
  JOB4  [46, 97, 78, 27, 74, 83, 38, 66, 79, 69, 56, 63, 53, 73, 86, 64, 67, 23, 79, 88, 58, 55, 86, 81, 90, 36, 32, 51, 63, 87]
  JOB5  [85, 62, 32, 88, 26, 21, 97, 83, 22, 73, 55, 95, 93, 93, 53, 55, 65, 70, 31, 38, 70, 100, 99, 79, 34, 55, 24, 27, 75, 22]
  JOB6  [26, 78, 86, 70, 95, 75, 38, 66, 67, 55, 63, 74, 72, 64, 59, 22, 91, 73, 85, 55, 30, 24, 44, 71, 64, 56, 24, 67, 30, 29]
  JOB7  [50, 93, 42, 66, 70, 76, 88, 21, 32, 23, 53, 67, 77, 84, 59, 55, 59, 31, 76, 86, 94, 63, 80, 33, 93, 40, 27, 94, 47, 79]
  JOB8  [87, 61, 37, 37, 28, 91, 52, 33, 90, 23, 91, 40, 40, 81, 93, 86, 25, 28, 91, 88, 84, 38, 87, 67, 90, 61, 40, 72, 32, 58]
  JOB9  [53, 46, 70, 93, 56, 92, 80, 25, 20, 51, 84, 24, 94, 47, 36, 83, 85, 31, 93, 47, 83, 57, 62, 75, 25, 64, 50, 31, 58, 79]
  JOB10  [61, 39, 62, 78, 62, 43, 58, 61, 36, 84, 62, 91, 29, 57, 38, 51, 88, 52, 58, 40, 20, 74, 91, 29, 41, 96, 55, 32, 34, 72]
  JOB11  [29, 45, 41, 75, 64, 62, 90, 85, 99, 100, 91, 58, 81, 41, 54, 54, 23, 64, 100, 84, 40, 98, 23, 39, 67, 64, 53, 93, 40, 32]
  JOB12  [88, 63, 55, 80, 38, 76, 60, 60, 59, 67, 45, 49, 91, 90, 51, 77, 58, 29, 62, 85, 65, 86, 56, 87, 69, 58, 24, 76, 67, 84]
  JOB13  [100, 59, 41, 47, 51, 39, 76, 77, 72, 23, 39, 98, 81, 47, 60, 84, 82, 77, 58, 65, 76, 59, 51, 65, 31, 55, 68, 76, 63, 40]
  JOB14  [47, 72, 34, 71, 65, 34, 85, 46, 86, 44, 28, 39, 68, 65, 90, 63, 23, 73, 57, 22, 63, 98, 24, 47, 84, 51, 49, 56, 91, 77]
  JOB15  [60, 38, 73, 86, 43, 44, 34, 74, 30, 82, 90, 44, 50, 21, 53, 96, 41, 80, 78, 56, 21, 37, 59, 40, 96, 29, 94, 68, 63, 44]
  JOB16  [43, 75, 83, 80, 41, 46, 97, 65, 93, 70, 39, 87, 86, 29, 83, 59, 74, 45, 26, 27, 71, 60, 64, 51, 32, 56, 53, 79, 87, 45]
  JOB17  [91, 42, 63, 72, 59, 84, 43, 53, 62, 55, 44, 65, 89, 86, 36, 36, 37, 48, 59, 69, 22, 88, 52, 56, 49, 95, 68, 31, 29, 87]
  JOB18  [40, 42, 73, 46, 29, 59, 82, 83, 33, 91, 97, 55, 85, 39, 26, 89, 96, 64, 95, 87, 91, 77, 67, 66, 78, 100, 37, 83, 98, 88]
  JOB19  [87, 88, 57, 91, 43, 64, 51, 55, 81, 34, 34, 90, 89, 98, 68, 62, 95, 63, 95, 23, 63, 50, 94, 69, 90, 25, 49, 60, 64, 36]
  JOB20  [35, 35, 81, 90, 74, 28, 55, 80, 94, 94, 21, 94, 40, 30, 72, 78, 75, 91, 97, 43, 33, 58, 97, 100, 60, 73, 55, 20, 64, 36]
  JOB21  [22, 50, 29, 52, 98, 67, 85, 64, 45, 72, 33, 40, 73, 70, 28, 36, 33, 34, 69, 91, 89, 44, 58, 55, 24, 62, 46, 48, 55, 95]
  JOB22  [28, 88, 88, 59, 22, 84, 64, 29, 87, 41, 73, 70, 78, 79, 34, 64, 38, 60, 22, 54, 30, 88, 60, 51, 74, 76, 83, 57, 85, 48]
  JOB23  [73, 55, 76, 63, 66, 54, 96, 99, 96, 26, 74, 46, 42, 21, 56, 45, 24, 63, 20, 92, 33, 81, 87, 57, 76, 37, 83, 57, 49, 64]
  JOB24  [38, 57, 72, 70, 34, 81, 63, 63, 47, 57, 87, 58, 75, 27, 28, 97, 87, 42, 99, 40, 64, 24, 95, 91, 27, 67, 60, 85, 23, 38]
  JOB25  [50, 25, 77, 48, 56, 27, 48, 90, 83, 36, 81, 97, 52, 47, 27, 50, 29, 33, 87, 30, 40, 88, 83, 42, 96, 55, 66, 29, 34, 80]
  JOB26  [56, 27, 42, 100, 65, 24, 65, 89, 31, 46, 41, 31, 65, 100, 94, 31, 25, 64, 34, 100, 87, 63, 65, 43, 67, 60, 64, 43, 84, 53]
  JOB27  [41, 85, 60, 78, 77, 26, 47, 72, 90, 33, 44, 83, 83, 93, 48, 45, 47, 63, 21, 44, 52, 65, 56, 29, 28, 48, 70, 68, 26, 34]
  JOB28  [100, 36, 100, 88, 83, 24, 27, 25, 53, 27, 68, 26, 89, 66, 75, 72, 29, 46, 34, 99, 65, 26, 70, 88, 73, 64, 72, 85, 93, 81]
  JOB29  [20, 68, 44, 82, 75, 82, 52, 64, 77, 27, 30, 53, 65, 46, 91, 40, 32, 27, 65, 34, 32, 96, 36, 60, 74, 28, 26, 93, 56, 50]
  JOB30  [43, 55, 79, 32, 26, 93, 95, 26, 100, 32, 81, 44, 51, 95, 46, 63, 22, 91, 32, 48, 67, 71, 76, 79, 100, 20, 79, 89, 42, 64]
  JOB31  [23, 30, 31, 50, 84, 68, 26, 98, 26, 22, 71, 32, 98, 79, 62, 47, 84, 83, 64, 99, 33, 26, 97, 57, 90, 62, 31, 22, 26, 77]
