STAGE = 16
MACHINE = [3, 2, 5, 2, 3, 4, 3, 3, 4, 5, 2, 3, 5, 5, 2, 5]
JOB_NUM = 40
PROCESSING_SCHEDULE = 
  JOB0  [21, 56, 40, 44, 25, 31, 90, 81, 93, 94, 30, 68, 58, 23, 35, 66]
  JOB1  [20, 59, 20, 43, 88, 23, 24, 82, 97, 35, 20, 24, 54, 67, 33, 28]
  JOB2  [86, 33, 61, 87, 100, 90, 48, 84, 40, 55, 78, 37, 64, 92, 82, 57]
  JOB3  [78, 58, 92, 23, 55, 90, 79, 76, 38, 70, 68, 32, 35, 83, 26, 76]
  JOB4  [57, 57, 74, 27, 44, 76, 89, 84, 85, 74, 45, 39, 34, 31, 89, 31]
  JOB5  [31, 100, 89, 89, 25, 51, 52, 93, 56, 100, 64, 40, 91, 98, 25, 49]
  JOB6  [74, 34, 47, 20, 56, 44, 78, 55, 66, 51, 52, 92, 72, 23, 52, 53]
  JOB7  [93, 48, 86, 68, 31, 47, 83, 27, 33, 55, 82, 76, 81, 99, 66, 71]
  JOB8  [66, 67, 64, 60, 41, 20, 86, 70, 53, 70, 92, 30, 75, 40, 38, 31]
  JOB9  [58, 73, 60, 93, 61, 24, 82, 81, 73, 31, 35, 93, 75, 47, 50, 56]
  JOB10  [40, 37, 34, 98, 21, 83, 66, 23, 61, 55, 51, 86, 51, 90, 100, 67]
  JOB11  [89, 54, 75, 61, 50, 37, 98, 62, 61, 71, 25, 64, 55, 96, 45, 36]
  JOB12  [29, 56, 22, 45, 63, 62, 85, 75, 61, 42, 32, 59, 31, 43, 27, 41]
  JOB13  [81, 78, 77, 66, 70, 54, 85, 78, 51, 82, 24, 99, 81, 59, 89, 26]
  JOB14  [50, 55, 33, 44, 79, 92, 64, 41, 31, 100, 29, 49, 22, 87, 43, 46]
  JOB15  [64, 47, 70, 73, 80, 82, 58, 88, 42, 61, 89, 78, 35, 22, 99, 91]
  JOB16  [77, 64, 80, 38, 42, 67, 82, 57, 71, 61, 86, 63, 77, 95, 95, 88]
  JOB17  [28, 92, 63, 98, 51, 65, 53, 20, 90, 39, 91, 97, 81, 42, 96, 74]
  JOB18  [82, 61, 77, 37, 68, 89, 39, 51, 62, 74, 86, 65, 100, 47, 98, 43]
  JOB19  [68, 71, 93, 85, 93, 41, 82, 60, 66, 50, 32, 81, 48, 64, 86, 86]
  JOB20  [47, 37, 91, 94, 99, 72, 34, 91, 90, 35, 52, 97, 98, 22, 59, 68]
  JOB21  [57, 42, 79, 62, 98, 93, 85, 51, 43, 33, 31, 81, 78, 23, 78, 31]
  JOB22  [92, 50, 75, 48, 66, 20, 70, 73, 94, 71, 56, 63, 63, 20, 36, 31]
  JOB23  [77, 21, 90, 23, 21, 70, 56, 54, 80, 87, 54, 77, 35, 83, 29, 80]
  JOB24  [64, 66, 61, 43, 56, 37, 73, 71, 56, 92, 31, 89, 75, 72, 32, 66]
  JOB25  [28, 81, 62, 54, 60, 75, 61, 28, 35, 48, 85, 67, 76, 86, 92, 23]
  JOB26  [82, 77, 58, 87, 41, 85, 25, 99, 75, 60, 40, 31, 86, 26, 81, 84]
  JOB27  [55, 50, 97, 86, 88, 58, 27, 69, 75, 35, 50, 90, 73, 76, 99, 48]
  JOB28  [36, 84, 69, 60, 44, 83, 68, 81, 86, 67, 99, 60, 77, 73, 22, 28]
  JOB29  [49, 73, 33, 99, 52, 80, 71, 91, 87, 26, 93, 40, 41, 73, 49, 44]
  JOB30  [39, 82, 49, 36, 69, 35, 71, 96, 23, 85, 56, 23, 35, 52, 45, 83]
  JOB31  [98, 30, 78, 24, 78, 74, 82, 43, 66, 100, 85, 20, 87, 61, 70, 27]
  JOB32  [84, 60, 44, 48, 27, 35, 43, 38, 43, 52, 88, 57, 65, 39, 33, 56]
  JOB33  [81, 72, 99, 20, 62, 71, 94, 60, 27, 21, 36, 79, 99, 73, 73, 71]
  JOB34  [52, 81, 50, 82, 58, 84, 38, 27, 73, 97, 95, 52, 76, 58, 23, 38]
  JOB35  [21, 27, 68, 67, 67, 97, 52, 23, 58, 23, 50, 60, 82, 36, 97, 91]
  JOB36  [85, 85, 53, 40, 54, 91, 39, 49, 80, 63, 80, 72, 97, 85, 79, 67]
  JOB37  [21, 97, 67, 68, 20, 47, 49, 60, 48, 77, 61, 45, 66, 53, 75, 29]
  JOB38  [89, 53, 72, 29, 23, 84, 58, 80, 87, 67, 61, 87, 49, 76, 34, 57]
  JOB39  [89, 59, 54, 99, 86, 24, 86, 22, 65, 70, 69, 25, 78, 34, 49, 56]
T_START = [878.0, 728.0, 782.0, 663.0, 809.0, 919.0, 808.0, 998.0, 908.0, 967.0, 739.0, 771.0, 584.0, 829.0, 559.0, 746.0]
T_END = [1512.0, 1480.0, 1824.0, 1255.0, 1272.0, 1316.0, 1485.0, 1247.0, 1714.0, 1413.0, 1573.0, 1368.0, 1673.0, 1374.0, 1360.0, 1536.0]
D_RATE = [0.13, 0.24, 0.19, 0.24, 0.21, 0.27, 0.24, 0.29, 0.13, 0.14, 0.21, 0.13, 0.1, 0.1, 0.3, 0.22]
IT_D = [0.21, 0.17, 0.18, 0.27, 0.28, 0.1, 0.17, 0.16, 0.12, 0.16, 0.27, 0.25, 0.13, 0.24, 0.12, 0.12]
IDLING_CONSUME = [0.13, 0.1, 0.18, 0.11, 0.2, 0.17, 0.26, 0.26, 0.29, 0.21, 0.28, 0.26, 0.23, 0.2, 0.24, 0.22]
