STAGE = 17
MACHINE = [5, 5, 5, 2, 4, 3, 2, 4, 3, 3, 2, 3, 3, 3, 3, 4, 5]
JOB_NUM = 40
PROCESSING_SCHEDULE = 
  JOB0  [80, 65, 65, 87, 52, 21, 26, 51, 43, 26, 84, 28, 92, 51, 77, 35, 39]
  JOB1  [94, 38, 46, 96, 20, 41, 97, 51, 31, 72, 57, 33, 46, 48, 82, 30, 73]
  JOB2  [61, 58, 58, 31, 82, 32, 47, 65, 81, 87, 30, 83, 29, 100, 80, 48, 47]
  JOB3  [98, 53, 61, 68, 93, 51, 93, 74, 29, 82, 38, 31, 73, 76, 51, 98, 57]
  JOB4  [39, 34, 60, 60, 100, 35, 59, 65, 95, 21, 93, 31, 82, 81, 47, 27, 20]
  JOB5  [75, 64, 84, 67, 68, 66, 95, 76, 69, 89, 22, 30, 30, 20, 28, 70, 71]
  JOB6  [79, 45, 97, 98, 72, 83, 24, 84, 61, 73, 91, 39, 39, 49, 54, 21, 61]
  JOB7  [96, 92, 24, 75, 22, 61, 76, 86, 47, 67, 81, 54, 62, 60, 49, 47, 65]
  JOB8  [63, 66, 34, 82, 89, 94, 88, 68, 20, 52, 95, 53, 32, 98, 66, 46, 53]
  JOB9  [76, 69, 100, 84, 20, 44, 87, 69, 54, 58, 89, 49, 23, 60, 26, 90, 33]
  JOB10  [71, 27, 44, 60, 86, 28, 74, 94, 91, 98, 80, 24, 75, 48, 61, 48, 97]
  JOB11  [23, 52, 87, 47, 28, 71, 63, 64, 98, 50, 74, 93, 73, 47, 36, 42, 65]
  JOB12  [34, 85, 58, 85, 72, 63, 42, 83, 79, 66, 87, 48, 90, 42, 79, 31, 66]
  JOB13  [80, 25, 28, 91, 54, 71, 50, 39, 93, 32, 54, 73, 60, 94, 86, 52, 45]
  JOB14  [76, 98, 49, 66, 22, 78, 23, 61, 63, 20, 29, 40, 63, 72, 72, 72, 81]
  JOB15  [51, 39, 49, 85, 46, 44, 63, 51, 96, 71, 79, 62, 23, 74, 78, 99, 72]
  JOB16  [78, 48, 80, 99, 97, 78, 54, 25, 58, 47, 22, 71, 56, 35, 36, 38, 69]
  JOB17  [27, 73, 55, 74, 93, 98, 52, 53, 60, 52, 82, 41, 22, 37, 70, 37, 91]
  JOB18  [67, 26, 38, 96, 29, 46, 95, 61, 93, 23, 22, 31, 36, 35, 69, 48, 86]
  JOB19  [66, 100, 100, 89, 64, 100, 90, 88, 42, 29, 69, 55, 44, 82, 37, 57, 72]
  JOB20  [63, 91, 45, 22, 65, 35, 32, 51, 74, 61, 57, 52, 28, 24, 33, 80, 74]
  JOB21  [27, 75, 88, 59, 64, 57, 98, 79, 21, 100, 58, 43, 62, 99, 54, 80, 24]
  JOB22  [40, 86, 91, 64, 95, 36, 50, 72, 85, 32, 72, 26, 25, 63, 43, 47, 70]
  JOB23  [29, 87, 87, 47, 54, 59, 34, 28, 35, 95, 100, 77, 55, 83, 86, 32, 59]
  JOB24  [91, 96, 99, 22, 62, 75, 58, 83, 45, 51, 90, 83, 84, 32, 58, 66, 35]
  JOB25  [72, 79, 50, 98, 72, 34, 39, 24, 63, 23, 67, 53, 86, 47, 68, 41, 74]
  JOB26  [47, 43, 21, 24, 80, 85, 45, 73, 32, 54, 52, 95, 96, 23, 44, 45, 25]
  JOB27  [40, 89, 56, 79, 22, 54, 22, 76, 46, 20, 29, 70, 60, 27, 24, 93, 76]
  JOB28  [57, 64, 63, 70, 89, 30, 92, 26, 34, 54, 40, 66, 70, 72, 89, 78, 85]
  JOB29  [39, 27, 33, 47, 74, 52, 78, 79, 68, 51, 79, 51, 70, 24, 49, 45, 84]
  JOB30  [80, 48, 99, 76, 80, 91, 40, 97, 49, 80, 66, 65, 77, 68, 26, 79, 91]
  JOB31  [22, 91, 57, 62, 29, 100, 71, 79, 59, 51, 49, 41, 43, 54, 62, 57, 53]
  JOB32  [24, 73, 27, 92, 80, 29, 26, 32, 100, 31, 100, 99, 30, 35, 24, 68, 59]
  JOB33  [38, 74, 55, 75, 71, 51, 30, 82, 75, 65, 53, 25, 84, 99, 37, 85, 26]
  JOB34  [89, 72, 62, 21, 92, 99, 39, 91, 71, 87, 28, 65, 67, 87, 77, 51, 45]
  JOB35  [100, 96, 50, 50, 97, 43, 52, 56, 46, 58, 71, 65, 63, 22, 63, 65, 44]
  JOB36  [91, 62, 80, 67, 67, 86, 49, 85, 57, 75, 54, 55, 65, 58, 96, 39, 96]
  JOB37  [54, 78, 81, 76, 67, 49, 56, 80, 30, 48, 43, 81, 97, 85, 34, 75, 79]
  JOB38  [100, 73, 29, 71, 36, 59, 83, 76, 40, 53, 28, 21, 37, 97, 53, 53, 20]
  JOB39  [60, 50, 79, 90, 83, 92, 41, 56, 69, 71, 21, 77, 84, 62, 25, 100, 58]
T_START = [849.0, 1018.0, 667.0, 578.0, 699.0, 533.0, 840.0, 632.0, 793.0, 614.0, 536.0, 632.0, 887.0, 806.0, 646.0, 463.0, 537.0]
T_END = [1673.0, 1749.0, 1630.0, 1486.0, 1398.0, 1695.0, 1213.0, 1632.0, 1225.0, 1456.0, 1218.0, 1460.0, 1516.0, 1256.0, 1315.0, 1389.0, 1220.0]
D_RATE = [0.14, 0.11, 0.17, 0.27, 0.23, 0.19, 0.15, 0.27, 0.29, 0.14, 0.15, 0.23, 0.15, 0.17, 0.29, 0.2, 0.24]
IT_D = [0.29, 0.24, 0.1, 0.15, 0.16, 0.15, 0.24, 0.29, 0.2, 0.16, 0.25, 0.18, 0.12, 0.11, 0.28, 0.25, 0.13]
IDLING_CONSUME = [0.26, 0.1, 0.21, 0.14, 0.11, 0.13, 0.19, 0.15, 0.3, 0.1, 0.29, 0.25, 0.28, 0.26, 0.23, 0.17, 0.2]
