STAGE = 20
MACHINE = [4, 3, 5, 3, 4, 4, 3, 3, 5, 4, 2, 4, 4, 5, 3, 4, 4, 4, 5, 4]
JOB_NUM = 40
PROCESSING_SCHEDULE = 
  JOB0  [69, 86, 73, 26, 60, 24, 45, 49, 57, 66, 58, 98, 20, 42, 97, 82, 60, 41, 42, 39]
  JOB1  [20, 54, 73, 52, 52, 84, 43, 47, 86, 95, 90, 56, 67, 35, 24, 30, 66, 57, 71, 63]
  JOB2  [55, 63, 39, 54, 53, 74, 56, 77, 100, 71, 24, 49, 98, 53, 71, 86, 56, 64, 64, 89]
  JOB3  [28, 56, 34, 88, 83, 98, 47, 48, 62, 66, 22, 79, 24, 45, 74, 42, 87, 71, 51, 63]
  JOB4  [54, 23, 29, 97, 84, 93, 89, 39, 77, 89, 30, 32, 69, 70, 78, 39, 94, 58, 39, 23]
  JOB5  [92, 65, 98, 74, 91, 66, 40, 25, 35, 100, 95, 33, 35, 88, 33, 35, 21, 41, 58, 37]
  JOB6  [63, 69, 94, 32, 64, 73, 30, 98, 69, 57, 65, 24, 97, 69, 84, 47, 68, 44, 97, 54]
  JOB7  [75, 29, 20, 21, 80, 70, 97, 82, 33, 85, 65, 98, 50, 71, 50, 34, 50, 73, 85, 49]
  JOB8  [64, 20, 78, 21, 20, 42, 55, 91, 91, 41, 49, 56, 55, 80, 86, 44, 90, 85, 89, 73]
  JOB9  [81, 31, 41, 39, 61, 55, 91, 83, 28, 33, 44, 85, 47, 44, 54, 68, 37, 35, 91, 95]
  JOB10  [87, 45, 25, 88, 61, 52, 83, 20, 66, 74, 63, 33, 24, 81, 44, 26, 24, 66, 22, 72]
  JOB11  [37, 36, 65, 27, 63, 47, 83, 92, 29, 72, 20, 56, 55, 72, 25, 24, 80, 33, 94, 95]
  JOB12  [24, 56, 56, 51, 22, 71, 55, 82, 69, 76, 84, 67, 43, 63, 64, 36, 69, 53, 81, 21]
  JOB13  [75, 70, 26, 49, 38, 47, 40, 45, 70, 99, 42, 42, 31, 35, 71, 38, 34, 36, 79, 58]
  JOB14  [46, 72, 60, 63, 90, 55, 28, 51, 99, 75, 97, 81, 57, 98, 67, 52, 76, 96, 87, 52]
  JOB15  [61, 58, 36, 95, 71, 91, 33, 37, 73, 62, 38, 62, 20, 93, 46, 51, 78, 62, 35, 87]
  JOB16  [95, 34, 27, 26, 81, 69, 88, 72, 98, 50, 99, 39, 63, 34, 41, 91, 65, 94, 90, 62]
  JOB17  [55, 36, 83, 32, 37, 82, 65, 48, 59, 54, 94, 46, 36, 94, 85, 96, 49, 64, 71, 59]
  JOB18  [47, 58, 38, 51, 79, 58, 27, 72, 31, 42, 58, 56, 70, 43, 52, 40, 37, 41, 97, 85]
  JOB19  [24, 27, 94, 90, 21, 52, 96, 100, 42, 84, 51, 63, 75, 94, 73, 71, 41, 34, 24, 90]
  JOB20  [28, 85, 74, 63, 55, 83, 74, 71, 95, 42, 93, 20, 56, 75, 54, 55, 95, 24, 36, 95]
  JOB21  [49, 76, 55, 38, 45, 66, 51, 42, 62, 87, 41, 37, 63, 84, 84, 21, 35, 28, 34, 24]
  JOB22  [85, 28, 44, 89, 34, 52, 67, 53, 66, 79, 68, 81, 28, 96, 31, 63, 90, 23, 82, 100]
  JOB23  [97, 37, 55, 81, 40, 80, 61, 24, 20, 41, 52, 78, 62, 59, 81, 55, 63, 64, 71, 65]
  JOB24  [51, 93, 97, 60, 80, 21, 64, 87, 34, 42, 82, 41, 69, 70, 44, 74, 64, 59, 54, 51]
  JOB25  [61, 58, 93, 68, 39, 69, 72, 70, 22, 28, 56, 73, 66, 65, 84, 96, 82, 55, 31, 65]
  JOB26  [26, 39, 37, 71, 73, 80, 35, 91, 39, 41, 54, 45, 81, 97, 92, 47, 95, 40, 71, 78]
  JOB27  [30, 56, 80, 31, 90, 81, 89, 73, 48, 73, 73, 66, 33, 71, 77, 50, 41, 59, 60, 29]
  JOB28  [26, 62, 88, 88, 40, 35, 47, 78, 34, 91, 36, 21, 81, 35, 90, 70, 91, 21, 38, 64]
  JOB29  [22, 77, 61, 56, 29, 91, 27, 76, 78, 63, 31, 74, 89, 96, 57, 40, 42, 29, 65, 58]
  JOB30  [63, 64, 32, 85, 35, 43, 22, 71, 51, 39, 93, 47, 90, 72, 23, 47, 31, 57, 60, 29]
  JOB31  [93, 78, 89, 22, 80, 33, 24, 20, 71, 43, 44, 79, 35, 73, 96, 64, 66, 46, 42, 55]
  JOB32  [24, 72, 90, 100, 46, 70, 52, 58, 65, 33, 66, 82, 62, 87, 51, 59, 53, 51, 64, 45]
  JOB33  [26, 58, 46, 61, 67, 29, 50, 41, 58, 47, 40, 73, 70, 93, 49, 91, 38, 72, 72, 42]
  JOB34  [63, 88, 81, 70, 82, 66, 30, 98, 35, 35, 67, 75, 81, 47, 64, 59, 48, 65, 92, 41]
  JOB35  [38, 36, 61, 36, 55, 24, 30, 28, 26, 21, 23, 90, 73, 36, 42, 51, 21, 36, 35, 47]
  JOB36  [90, 61, 86, 58, 28, 63, 62, 80, 60, 85, 92, 22, 34, 95, 70, 90, 93, 76, 81, 55]
  JOB37  [67, 34, 31, 78, 40, 94, 71, 23, 85, 72, 76, 79, 41, 50, 71, 90, 28, 24, 83, 30]
  JOB38  [85, 83, 61, 69, 99, 61, 64, 20, 24, 32, 24, 82, 97, 38, 86, 22, 98, 30, 60, 71]
  JOB39  [85, 31, 48, 64, 55, 36, 67, 51, 96, 70, 85, 49, 82, 67, 88, 43, 73, 85, 97, 67]
T_START = [678.0, 860.0, 791.0, 756.0, 488.0, 794.0, 788.0, 917.0, 515.0, 982.0, 644.0, 711.0, 908.0, 705.0, 511.0, 599.0, 559.0, 628.0, 986.0, 808.0]
T_END = [1198.0, 1411.0, 1487.0, 1489.0, 1278.0, 1686.0, 1148.0, 1568.0, 1546.0, 1547.0, 1311.0, 1611.0, 1491.0, 1382.0, 1404.0, 1132.0, 1700.0, 1318.0, 1816.0, 1450.0]
D_RATE = [0.19, 0.11, 0.22, 0.15, 0.27, 0.3, 0.25, 0.3, 0.29, 0.16, 0.15, 0.28, 0.13, 0.29, 0.19, 0.15, 0.16, 0.2, 0.11, 0.21]
IT_D = [0.3, 0.27, 0.12, 0.23, 0.23, 0.27, 0.15, 0.17, 0.28, 0.12, 0.21, 0.15, 0.28, 0.11, 0.27, 0.28, 0.24, 0.26, 0.24, 0.26]
IDLING_CONSUME = [0.16, 0.14, 0.29, 0.12, 0.28, 0.28, 0.23, 0.28, 0.13, 0.28, 0.11, 0.24, 0.23, 0.11, 0.28, 0.19, 0.15, 0.12, 0.19, 0.13]
