STAGE = 28
MACHINE = [5, 5, 3, 2, 3, 3, 5, 3, 4, 4, 3, 3, 2, 4, 5, 2, 3, 4, 4, 4, 2, 5, 3, 2, 3, 3, 3, 2]
JOB_NUM = 40
PROCESSING_SCHEDULE = 
  JOB0  [65, 62, 88, 42, 68, 89, 45, 99, 32, 66, 78, 79, 52, 98, 86, 100, 95, 27, 26, 46, 36, 34, 41, 97, 89, 92, 36, 31]
  JOB1  [54, 98, 38, 47, 75, 80, 96, 60, 77, 51, 28, 96, 39, 63, 95, 35, 59, 42, 64, 93, 84, 51, 53, 88, 38, 68, 97, 28]
  JOB2  [80, 74, 67, 74, 67, 35, 33, 33, 83, 24, 95, 35, 27, 36, 92, 26, 74, 78, 35, 86, 79, 32, 39, 78, 65, 90, 45, 56]
  JOB3  [41, 42, 66, 34, 79, 42, 88, 38, 52, 37, 24, 80, 96, 41, 23, 20, 31, 35, 31, 66, 43, 43, 66, 66, 75, 94, 57, 87]
  JOB4  [78, 48, 38, 21, 89, 69, 68, 73, 23, 92, 71, 87, 36, 41, 75, 44, 100, 42, 30, 85, 45, 90, 81, 53, 51, 80, 97, 92]
  JOB5  [49, 58, 96, 22, 73, 90, 45, 38, 50, 55, 28, 37, 83, 68, 93, 76, 38, 21, 91, 86, 94, 92, 53, 39, 98, 79, 76, 75]
  JOB6  [66, 43, 47, 73, 73, 70, 21, 50, 53, 88, 62, 65, 20, 91, 40, 29, 32, 25, 95, 46, 40, 21, 78, 34, 90, 64, 63, 95]
  JOB7  [43, 85, 49, 80, 33, 100, 77, 67, 29, 42, 28, 96, 24, 70, 64, 42, 25, 54, 86, 50, 61, 50, 92, 77, 69, 41, 46, 88]
  JOB8  [80, 25, 87, 58, 78, 29, 99, 36, 39, 27, 87, 42, 51, 40, 34, 69, 56, 83, 65, 92, 61, 35, 24, 74, 22, 84, 62, 37]
  JOB9  [64, 98, 43, 53, 74, 27, 67, 51, 59, 87, 77, 89, 89, 98, 63, 60, 82, 50, 97, 38, 55, 51, 82, 65, 95, 59, 92, 94]
  JOB10  [71, 96, 89, 26, 23, 100, 20, 64, 52, 62, 61, 28, 38, 71, 23, 86, 50, 71, 41, 49, 65, 43, 95, 87, 27, 86, 100, 36]
  JOB11  [48, 91, 51, 77, 66, 79, 25, 40, 49, 75, 89, 24, 58, 95, 73, 58, 50, 97, 77, 40, 23, 64, 45, 85, 25, 25, 93, 47]
  JOB12  [22, 26, 99, 34, 20, 36, 47, 38, 48, 93, 49, 50, 96, 94, 24, 63, 22, 55, 40, 58, 79, 70, 75, 23, 61, 88, 67, 47]
  JOB13  [26, 25, 83, 38, 90, 92, 100, 24, 67, 72, 64, 88, 56, 69, 30, 56, 24, 72, 53, 49, 69, 46, 62, 60, 25, 99, 78, 59]
  JOB14  [73, 25, 53, 68, 84, 93, 87, 28, 69, 94, 66, 61, 27, 59, 34, 76, 41, 82, 26, 37, 29, 57, 74, 44, 84, 55, 98, 79]
  JOB15  [53, 100, 64, 24, 68, 81, 84, 54, 68, 93, 29, 76, 24, 30, 97, 66, 41, 57, 94, 94, 51, 85, 50, 57, 84, 49, 67, 98]
  JOB16  [57, 52, 69, 37, 42, 83, 74, 97, 72, 78, 29, 69, 92, 63, 20, 54, 91, 97, 92, 66, 83, 68, 20, 33, 96, 70, 82, 35]
  JOB17  [60, 59, 36, 28, 95, 86, 86, 79, 95, 92, 82, 76, 73, 87, 96, 71, 29, 61, 35, 57, 51, 47, 20, 26, 31, 92, 94, 74]
  JOB18  [47, 71, 86, 82, 87, 40, 44, 74, 62, 48, 90, 83, 36, 93, 49, 49, 59, 21, 94, 96, 21, 88, 98, 32, 56, 87, 28, 39]
  JOB19  [98, 83, 55, 86, 47, 71, 79, 24, 37, 50, 31, 34, 45, 83, 74, 60, 82, 46, 68, 52, 23, 88, 33, 48, 23, 75, 83, 80]
  JOB20  [84, 71, 20, 41, 70, 22, 23, 37, 43, 80, 61, 73, 97, 79, 54, 83, 31, 71, 29, 51, 49, 50, 41, 73, 94, 37, 74, 73]
