STAGE = 19
MACHINE = [4, 3, 3, 4, 3, 5, 5, 5, 5, 2, 5, 2, 5, 5, 3, 4, 2, 3, 5]
JOB_NUM = 40
PROCESSING_SCHEDULE = 
  JOB0  [89, 38, 53, 49, 27, 79, 78, 30, 87, 91, 96, 96, 76, 60, 68, 24, 20, 57, 42]
  JOB1  [20, 27, 60, 93, 36, 83, 24, 70, 98, 53, 60, 47, 76, 72, 22, 62, 67, 98, 34]
  JOB2  [20, 79, 40, 77, 40, 66, 67, 62, 72, 21, 32, 68, 54, 88, 27, 44, 86, 26, 65]
  JOB3  [33, 51, 86, 60, 21, 62, 71, 43, 87, 80, 27, 73, 25, 32, 44, 43, 46, 46, 21]
  JOB4  [55, 46, 42, 55, 72, 25, 32, 99, 29, 24, 44, 98, 38, 92, 57, 39, 98, 95, 78]
  JOB5  [30, 21, 49, 53, 73, 47, 40, 28, 84, 43, 67, 54, 23, 94, 28, 68, 93, 82, 62]
  JOB6  [83, 62, 48, 58, 44, 49, 78, 70, 48, 56, 41, 31, 29, 49, 88, 69, 37, 45, 61]
  JOB7  [22, 62, 73, 95, 81, 50, 37, 69, 31, 62, 57, 55, 37, 84, 52, 65, 69, 80, 23]
  JOB8  [81, 86, 82, 31, 82, 26, 20, 86, 64, 82, 89, 98, 41, 53, 51, 83, 99, 67, 60]
  JOB9  [82, 68, 56, 89, 88, 42, 48, 34, 48, 84, 78, 54, 48, 98, 24, 100, 81, 27, 32]
  JOB10  [63, 68, 76, 100, 86, 64, 98, 70, 21, 24, 54, 21, 34, 56, 25, 59, 74, 20, 75]
  JOB11  [69, 30, 88, 47, 84, 69, 53, 35, 82, 44, 39, 83, 46, 63, 36, 31, 60, 74, 66]
  JOB12  [100, 87, 34, 56, 83, 70, 64, 100, 33, 46, 64, 75, 80, 87, 61, 61, 76, 59, 93]
  JOB13  [64, 87, 47, 37, 40, 39, 35, 71, 66, 98, 75, 27, 68, 45, 74, 35, 20, 20, 22]
  JOB14  [29, 30, 65, 88, 88, 60, 21, 99, 22, 26, 53, 59, 91, 74, 54, 25, 95, 43, 58]
  JOB15  [36, 89, 85, 33, 77, 22, 76, 79, 37, 90, 55, 71, 24, 23, 33, 27, 70, 36, 41]
  JOB16  [97, 84, 31, 71, 81, 43, 41, 20, 45, 93, 59, 92, 33, 100, 63, 85, 91, 27, 25]
  JOB17  [52, 20, 88, 92, 69, 76, 98, 55, 55, 24, 92, 79, 36, 74, 95, 76, 68, 75, 30]
  JOB18  [34, 75, 81, 52, 49, 73, 58, 84, 60, 49, 78, 49, 66, 21, 90, 36, 97, 21, 40]
  JOB19  [24, 45, 20, 39, 80, 32, 71, 84, 38, 79, 68, 84, 43, 66, 81, 99, 57, 49, 53]
  JOB20  [82, 78, 59, 93, 47, 26, 82, 35, 35, 27, 67, 47, 41, 95, 47, 29, 55, 74, 60]
  JOB21  [95, 62, 49, 70, 42, 72, 82, 49, 44, 34, 63, 58, 87, 22, 63, 97, 41, 88, 95]
  JOB22  [45, 99, 41, 38, 66, 75, 70, 68, 79, 31, 60, 94, 62, 45, 57, 80, 56, 74, 58]
  JOB23  [62, 36, 82, 100, 75, 95, 65, 49, 58, 92, 89, 29, 23, 71, 99, 88, 27, 63, 25]
  JOB24  [44, 86, 39, 60, 46, 86, 30, 74, 68, 84, 22, 81, 100, 77, 40, 62, 65, 88, 57]
  JOB25  [73, 100, 81, 43, 81, 50, 43, 45, 66, 42, 39, 60, 29, 78, 90, 86, 28, 89, 48]
  JOB26  [28, 66, 32, 78, 42, 43, 78, 78, 30, 34, 33, 71, 80, 60, 28, 74, 96, 100, 66]
  JOB27  [55, 33, 42, 36, 100, 37, 57, 41, 39, 43, 48, 67, 97, 45, 71, 61, 44, 24, 81]
  JOB28  [98, 55, 34, 45, 27, 53, 82, 49, 51, 24, 20, 52, 66, 97, 32, 67, 83, 68, 78]
  JOB29  [66, 54, 58, 95, 85, 22, 59, 34, 28, 27, 77, 62, 70, 90, 22, 91, 99, 26, 50]
  JOB30  [93, 86, 93, 57, 98, 36, 49, 39, 89, 20, 61, 31, 26, 44, 56, 50, 80, 38, 38]
  JOB31  [45, 50, 75, 43, 32, 49, 20, 61, 98, 91, 67, 72, 59, 64, 99, 31, 75, 37, 55]
  JOB32  [89, 23, 62, 70, 50, 25, 99, 63, 100, 90, 36, 48, 35, 68, 40, 37, 61, 41, 30]
  JOB33  [73, 22, 50, 44, 97, 59, 96, 26, 37, 96, 44, 43, 28, 95, 70, 37, 70, 34, 30]
  JOB34  [84, 28, 72, 65, 92, 59, 80, 28, 92, 72, 27, 78, 50, 75, 91, 27, 24, 43, 39]
