STAGE = 15
MACHINE = [5, 2, 4, 4, 3, 2, 3, 3, 5, 5, 5, 3, 4, 5, 5]
JOB_NUM = 40
PROCESSING_SCHEDULE = 
  JOB0  [36, 88, 48, 89, 75, 73, 54, 58, 77, 27, 55, 65, 53, 31, 62]
  JOB1  [49, 86, 34, 20, 55, 34, 28, 67, 31, 53, 86, 36, 90, 26, 94]
  JOB2  [86, 72, 51, 26, 59, 27, 33, 39, 31, 37, 42, 66, 89, 100, 62]
  JOB3  [85, 35, 66, 94, 92, 57, 60, 84, 83, 95, 74, 88, 38, 53, 39]
  JOB4  [64, 79, 47, 81, 70, 32, 34, 42, 25, 73, 74, 53, 74, 55, 66]
  JOB5  [94, 81, 95, 51, 91, 94, 81, 48, 27, 36, 39, 99, 70, 80, 48]
  JOB6  [34, 66, 66, 63, 61, 51, 28, 51, 77, 23, 67, 28, 33, 61, 66]
  JOB7  [31, 30, 96, 90, 51, 68, 66, 65, 71, 55, 41, 77, 84, 49, 69]
  JOB8  [77, 42, 70, 68, 61, 90, 82, 63, 53, 55, 33, 70, 86, 72, 22]
  JOB9  [58, 73, 82, 41, 81, 88, 67, 27, 92, 52, 54, 69, 81, 55, 92]
  JOB10  [90, 73, 96, 31, 44, 68, 68, 72, 34, 81, 99, 51, 96, 61, 92]
  JOB11  [53, 32, 71, 26, 96, 29, 81, 65, 84, 60, 31, 57, 51, 84, 34]
  JOB12  [71, 36, 50, 53, 91, 98, 79, 67, 98, 82, 65, 24, 52, 57, 58]
  JOB13  [73, 69, 68, 33, 66, 61, 94, 80, 62, 67, 39, 63, 64, 45, 93]
  JOB14  [36, 40, 23, 65, 23, 76, 78, 45, 98, 70, 97, 99, 65, 97, 90]
  JOB15  [45, 56, 43, 39, 50, 57, 79, 74, 41, 82, 24, 36, 75, 53, 34]
  JOB16  [20, 99, 50, 38, 34, 78, 22, 50, 50, 26, 92, 85, 89, 49, 97]
  JOB17  [43, 67, 87, 45, 41, 42, 87, 46, 60, 25, 25, 22, 97, 85, 61]
  JOB18  [96, 51, 97, 66, 56, 40, 90, 44, 82, 62, 83, 92, 78, 70, 83]
  JOB19  [94, 84, 78, 66, 84, 28, 61, 41, 28, 51, 76, 81, 72, 63, 58]
  JOB20  [39, 42, 22, 94, 30, 58, 65, 68, 82, 64, 31, 97, 27, 79, 56]
  JOB21  [91, 94, 38, 33, 57, 44, 83, 79, 100, 28, 69, 39, 44, 54, 64]
  JOB22  [84, 100, 75, 22, 53, 50, 77, 23, 79, 25, 38, 71, 68, 79, 80]
  JOB23  [87, 28, 95, 75, 64, 87, 63, 22, 80, 64, 54, 71, 39, 69, 52]
  JOB24  [99, 100, 88, 76, 95, 34, 70, 81, 63, 56, 47, 91, 58, 66, 99]
  JOB25  [48, 91, 54, 78, 29, 59, 78, 31, 80, 85, 40, 23, 62, 29, 53]
  JOB26  [26, 23, 56, 62, 35, 26, 64, 67, 31, 68, 44, 82, 70, 54, 80]
  JOB27  [41, 39, 30, 86, 31, 23, 35, 63, 74, 48, 40, 48, 42, 38, 39]
  JOB28  [47, 62, 24, 99, 99, 20, 80, 91, 29, 24, 97, 96, 37, 57, 74]
  JOB29  [23, 94, 91, 63, 71, 32, 98, 43, 95, 55, 21, 79, 95, 79, 47]
  JOB30  [32, 64, 39, 72, 71, 97, 47, 22, 34, 50, 89, 78, 43, 29, 83]
  JOB31  [96, 94, 30, 32, 98, 54, 32, 20, 82, 86, 94, 70, 100, 69, 43]
  JOB32  [66, 45, 77, 72, 96, 85, 77, 92, 29, 32, 94, 97, 22, 48, 23]
  JOB33  [85, 100, 20, 22, 46, 69, 48, 38, 54, 63, 89, 22, 58, 74, 63]
  JOB34  [82, 45, 66, 53, 37, 65, 99, 47, 65, 20, 45, 34, 52, 82, 69]
  JOB35  [73, 65, 31, 61, 93, 43, 84, 91, 81, 58, 32, 60, 64, 59, 59]
  JOB36  [49, 23, 45, 57, 49, 26, 60, 55, 96, 69, 70, 68, 79, 36, 40]
  JOB37  [65, 56, 57, 35, 31, 72, 66, 68, 44, 29, 27, 48, 68, 100, 34]
  JOB38  [74, 26, 50, 45, 21, 88, 37, 75, 92, 88, 66, 26, 30, 30, 24]
  JOB39  [91, 46, 76, 26, 72, 61, 71, 95, 39, 42, 85, 46, 59, 51, 32]
T_START = [684.0, 899.0, 524.0, 652.0, 934.0, 662.0, 652.0, 736.0, 583.0, 542.0, 734.0, 978.0, 536.0, 874.0, 657.0]
T_END = [1570.0, 1647.0, 1667.0, 1371.0, 1648.0, 1530.0, 1381.0, 1241.0, 1646.0, 1495.0, 1658.0, 1529.0, 1711.0, 1287.0, 1363.0]
D_RATE = [0.22, 0.28, 0.23, 0.27, 0.19, 0.23, 0.29, 0.17, 0.28, 0.2, 0.15, 0.15, 0.28, 0.23, 0.26]
IT_D = [0.18, 0.26, 0.21, 0.27, 0.13, 0.12, 0.29, 0.12, 0.12, 0.16, 0.25, 0.11, 0.28, 0.15, 0.23]
IDLING_CONSUME = [0.26, 0.14, 0.13, 0.17, 0.16, 0.15, 0.15, 0.15, 0.12, 0.25, 0.14, 0.22, 0.16, 0.2, 0.27]
